qstr_{reg1}.0|{reg1}.0
qstr_One_of_the_greatest_|One of the greatest battles known between West Seaxe and the Danes was fought here. You have memories of that day, because you took part in it.
qstr_This_place_destroyed|This place, destroyed by your men, is nothing but ash and rubble.
qstr_You_are_at_{s2}.|You are at {s2}.
qstr_Having_your_men_garr|Having your men garrison the refuge, like for castles and cities, allows them to rest away from the dangers of road and battle and reduces their maintenance cost.
qstr_You_need_to_hire_a_c|You need to hire a cook first.
qstr_It_is_night_and_your|It is night, and your refuge seems quiet, with some men watching while others are asleep.
qstr_The_ramshackle_priso|The ramshackle prison at your refuge is not very secure. Your captain suggests not to keep lords here!
qstr_Refuge_demolished!|Refuge demolished!
qstr_You_do_not_have_enoug|You do not have enough money to pay men to demolish your refuge.
qstr_Your_men_think_you_v|Your men think you've done an honorable thing by paying for Egil's funeral expenses, despite that he turned against you.
qstr_Note_Egil:_Egil_turn|Note Egil: Egil turned against you when you decided to give the letter to West Seaxe. He attacked you, and you had to kill him. As he was loved by all, you decided to pay for and attend his funeral.
qstr_Your_men_think_you_ve|Your men think you've done an honorable thing by paying for Egil's funeral expenses, despite how he turned against you.
qstr_Message|Message
qstr_Your_men_cry_for_Egi|Your men cry for Egil's betrayal, and they mourn his death. Many of them liked him; some would have liked him as a leader.
qstr_Note_Egil:_Egil_turne|Note Egil: Egil turned against you when you decided to give the letter to West Seaxe. He attacked you, and you had to kill him. You let your men bury him.
qstr_Your_men_cry_for_Egil|Your men cry for Egil's death, but they obey your orders. Now they think you're a tough leader who does not forgive traitors.
qstr_Note_Egil:_Egil_turned|Note Egil: Egil turned against you when you decided to give the letter to West Seaxe. He attacked you, and you had to kill him. You didn't even let your men bury him.
qstr_Shortly_after_landin|Shortly after landing, as if he had been watching you, a messenger appears riding towards you. You notice the dark circles under his eyes, as if he went days without sleeping, and his horse seems to be on the verge of exhaustion. Finally, he takes a breath and exclaims:^^
qstr_{s4}_{playername}_my|{s4}'{playername}, my jarl, Rathbarth Ragnarsson, has dispatched messengers to find you after merchants brought news that you had left Frankia for Englaland. He wants you to join his brother Halfdan in Readingum, as he is leading a final assault on West Seaxe. We advanced from East Engle with a great army and set up a fortified camp at Readingum, from where we plundered the area. But Aethelred and Aelfred gathered the fyrd in Witan Ceaster and attacked us. Luckily, they were repelled.^^Now the king of West Seaxe, assisted by his brother Aelfred, have retreated west, to Aescesdun, where they gather a huge army to fight us. Your help is needed, as Halfdan wants to go against them before they get more men. We fear that this will be the mother of all battles! If we win, West Seaxe will be ours!^^Jarl Rathbarth told me especially to mention that Sven Bull Neck is with Aelfred and fights in his army.'
qstr_{s4}_{playername}_my_|{s4}'{playername}, my ealdorman, Aelfred Aethelwulfing, has dispatched messengers to find you after merchants brought news that you had left Frankia for Englaland. He wants you to join him as soon as possible. He is moving around the kingdom to gather a army as the Danish advance against West Seaxe.^^They advanced from East Engle with a great army and set up a fortified camp at Readingum, from where they plundered the area. Our king, Aethelred, and Aelfred gathered the Fyrd in Witan Ceaster and attacked the Danish in Readingum, but they were repelled. Now they are in Aescesdun gathering men and preparing to face the Danish again! God protect us, we will go against the Danish with the entire fyrd! If this fail, West Seaxe will be lost with the rest of Englaland!^^Ealdorman Aelfred told me especially to mention that Sven Bull Neck is with Halfdan and fights in his army.'
qstr_You_met_Orm_the_Blac|You met Orm the Black in single combat and killed him.
qstr_Your_party_has_gaine|Your party has gained morale.
qstr_You_met_{s1}_in_sing|You met {s1} in single combat and won.
qstr_This_warrior|This warrior
qstr_The_enemy_party_has_|The enemy party has lost morale.
qstr_You_met_{s1}_in_singl|You met {s1} in single combat and lost.
qstr_Your_party_has_lost_|Your party has lost morale.
qstr_The_low_morale_of_yo|The low morale of your army has led some men to conspire against you. One of your warriors committed the imprudence of talking too much while you could hear him. Feeling exposed, the warrior has insulted you publicly and has challenged you to a duel for leadership... A duel to the death.
qstr_The_problems_of_mora|The problems of morale of your army has moved one of your warriors to propose himself a candidate to replace you. He has challenged you to a duel to the death...
qstr_Morale_is_so_low_a_w|Morale is so low, a warrior insults you when you go near him, accusing you of being a bad leader. Then he challenges you to a duel. The victor occupies your post.
qstr_The_Assembly_has_tak|The Assembly has taken up your case. You must quickly go to the assembly near {s3}, lest they decide against you.
qstr_Note_Reginhard:_Regi|Note Reginhard: Reginhard betrayed you before The Assembly, and you had to kill him in a holmgang decreed by The Assembly.
qstr_Note_Egil:_Reginhard|Note Egil: Reginhard betrayed you before The Assembly, but you forgave him. However, Egil did not accept your decision, and you had to kill him in a holmgang by the laws of The Assembly.
qstr_The_holmgang_is_over|The holmgang is over. It's time to meet Asbjorn in {s3}.
qstr_You_remember_that_yo|You remember that you need to bring Ragnar's seax for this mission.
qstr_Before_you_left_for_|Before you left for your trip to Frankia, someone sent a messenger to inform you that someone will meet you at a place called Boar Grove, near {s3}. There you must find the house of the lumberjack.
qstr_Through_the_trees_yo|Through the trees, you can barely see a hut. The trees sough gently in the wind, and some birds sing, but you see no one.
qstr_Through_the_trees_you|Through the trees, you can barely see the hut, now empty, where you met Beda.
qstr_You_arrive_at_a_deep|You arrive at a deep forest.
qstr_Through_the_trees_you_|Through the trees, you can barely see the hut, now abandoned since you killed the old hero who once lived in it.
qstr_You_stay_hidden_watc|You stay hidden, watching the camp from afar and avoiding Saxon lookouts and patrols.
qstr_You_stay_hidden_watch|You stay hidden, watching the camp from afar and avoiding Danish lookouts and patrols.
qstr_Aelfred_gives_the_or|Aelfred gives the order, and horns call men outside the camp. You follow the brother of the king of West Seaxe outside, where his men have formed the ranks. They are led by officers and waiting.^^There is a tense silence filled with nerves and worry. The Saxon warriors know that the fate of West Seaxe hangs by a thread. If they fall defeated, nothing will keep the Danish from plundering their houses and enslaving their families.
qstr_Halfdan_gives_the_or|Halfdan gives the order, and horns call men outside the camp. You follow Ragnar's son outside, where his men have formed ranks. They are led by officers and waiting.^^The Danish warriors are animated and some even joke, motivated by the recent victory over their enemies. But all voices fall silent when Halfdan arrives before them.
qstr_West_Seaxe|West Seaxe
qstr_Danish|Danish
qstr_You_notice_that_Aelf|You notice that Aelfred is coming towards you. It was he who saved the day with his charge when the Danish tried to gain the hill. Without that improvisation, probably you would all be dead now...
qstr_Halfdan_walks_toward|Halfdan walks towards you. You see him covered in blood, but he is smiling. He knows that without you and your army, he would have lost that battle.
qstr_Your_followers_decid|Your followers decided to leave you.
qstr_You_chose_to_dispers|You chose to disperse your followers.
qstr_You_notice_that_a_gr|You notice that a group of men approaching you. It is led by a tall man. This must be Eadric, the man mentioned by Aelfred.
qstr_You_notice_that_a_gro|You notice that a group of men approaching you. It is led by a tall man. This must be Arnvid, the man mentioned by Halfdan.
qstr_Your_men_have_nothin|Your men have nothing to eat!
qstr_Part_of_your_food_wa|Part of your food was destroyed.
qstr_Your_men_think_that_|Your men think that you are a strong leader.
qstr_Your_men_think_that_y|Your men think that you are a weak leader.
qstr_While_your_messenger|While your messengers try to negotiate with the enemy raiders, a squad of your men appears by chance, and a battle begins. Your men manage to destroy the looters and fix the problem, but at the cost of some lives.
qstr_The_enemy_raiders_ac|The enemy raiders accept the deal, take the money and promise not to attack your supplies for some weeks.
qstr_The_raiders_are_left|The raiders are left with the money, kill the messengers, and continue to damage your supply routes.
qstr_You_don_t_have_enough_si|You don't have enough silver. You order water to be rationed and dig wells.
qstr_the_enemy_thinks_rei|the enemy thinks reinforcements will soon arrive.
qstr_fear_and_discontent_|fear and discontent are spreading inside.
qstr_he_likes_the_wife_of|he likes the wife of his former master, and he will fight by your side if you give her to him after the conquest.
qstr_the_enemy_s_morale_i|the enemy's morale is low, and we should attack.
qstr_Wergild_is_paid.|Wergild is paid.
qstr_The_wergild_is_paid_|The wergild is paid and your warrior whipped.
qstr_Your_men_think_you_r|Your men think you're heartless and fear you.
qstr_You_feel_happy.|You feel happy.
qstr_You_feel_good_for_he|You feel good for helping.
qstr_New_troops_join_your|New troops join your party.
qstr_The_bandits_leave_an|The bandits leave, angry.
qstr_Your_men_kill_all_th|Your men kill all the bandits.
qstr_At_night_some_of_you|At night, some of your men make off with prostitutes.
qstr_Your_enemies_appreci|Your enemies appreciate your pity. Perhaps this will help you when you negotiate their surrender.
qstr_Your_men_think_that_yo|Your men think that you are a hard leader.
qstr_You_know_that_in_the|You know that in the coming days dozens of children, women and elderly will die before your eyes, languishing from hunger.
qstr_Your_officer_seems_u|Your officer seems upset.
qstr_Your_men_think_that_you|Your men think that you are a very hard leader.
qstr_Your_officer_seems_h|Your officer seems happy.
qstr_The_wife_is_pregnant|The wife is pregnant, and the officer asks for a high compensation. To avoid rumors and problems, you pay.
qstr_{s1}_of_the_{s2}.|{s1} of the {s2}.
qstr_A_messenger_approach|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. Your proposal has been accepted by the {s11}, and {s10} has been released from captivity.'
qstr_A_messenger_approache|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. Your proposal was not accepted by the {s11}, and {s10} will remain captive. Here you have your money back.'
qstr_A_messenger_approaches|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will meet you and will follow you as soon as possible.'
qstr_A_messenger_approaches_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says you're not the one to give orders.'
qstr_A_messenger_approaches_g|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says that it would hardly be proper as you don't have authority for it.'
qstr_A_messenger_approaches_ga|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} has better things to do than follow your orders.'
qstr_A_messenger_approaches_gal|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is busy and cannot follow orders at this time.'
qstr_A_messenger_approaches_gall|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go to {s10} as soon as possible.'
qstr_A_messenger_approaches_gallo|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message.: {s9} will go patrol around {s10} as soon as possible.'
qstr_A_messenger_approaches_gallop|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go patrol around {s10} as soon as possible.'
qstr_A_messenger_approaches_gallopi|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} will go to besiege {s10} as soon as possible.'
qstr_A_messenger_approaches_gallopin|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says you're not one to give orders.'
qstr_A_messenger_approaches_galloping|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} says that would hardly be proper as you don't have authority for it.'
qstr_A_messenger_approaches_galloping.|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is busy and did not receive me. His men threatened to kill me if I insisted.'
qstr_A_messenger_approaches_galloping._|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is surprised by your insult, especially when there was no enmity between you. He says that he will ignore it this time, but do not provoke him again.'
qstr_A_messenger_approaches_galloping._H|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was greatly angered by your insult, falling fully under the provocation of your challenge. He called his men to arms, and I think he will advance against you.'
qstr_A_messenger_approaches_galloping._He|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} has not fallen for your provocation. He answered to not waste more of his time.'
qstr_A_messenger_approaches_galloping._He_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} has not fallen for your provocation, but he has retaliated with insults difficult to repeat but all very descriptive. And he said that if you had a problem for which you had the courage to look for him, he would love to teach you some manners.'
qstr_A_messenger_approaches_galloping._He_s|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is busy and did not receive me. However, his men took the gift and divided it among themselves, threatening to kill me if I insisted on delivering your message.'
qstr_A_messenger_approaches_galloping._He_st|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} thanks you for your gift, and says he will make the next feast in your honor.'
qstr_A_messenger_approaches_galloping._He_sto|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} took your gift and gave it to his men, saying it is the tribute of a coward. His response was that he will be your enemy forever. Nothing can change that after everything that has happened between the two of you.'
qstr_A_messenger_approaches_galloping._He_stop|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} is encouraged to know you have an interest in resolving the differences and bad relations between you. Although still there are many things to resolve, this is a good start, and he accepts your gift.'
qstr_A_messenger_approaches_galloping._He_stops|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} did not accept the gift, but his men took me where I was going. Sorry, I lost the treasure.'
qstr_A_messenger_approaches_galloping._He_stops_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} did not want to meet me, saying he was busy and does not like to discuss these things with a lowly messenger.'
qstr_A_messenger_approaches_galloping._He_stops_i|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} accepts your alliance proposal. From now on, {s2} is your ally.'
qstr_A_messenger_approaches_galloping._He_stops_in|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} accepts your truce proposal. From now on, {s2} and you are at peace.'
qstr_A_messenger_approaches_galloping._He_stops_in_|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} did not appear surprised by your declaration of war because you are scum whom nobody can trust.^^From now on, you are at war with {s2}'
qstr_A_messenger_approaches_galloping._He_stops_in_f|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was very offended by your desire to provoke a war and promises to send messengers everywhere to publicize your villainy.^^From now on, you are at war with {s2}'
qstr_A_messenger_approaches_galloping._He_stops_in_fr|A messenger approaches, galloping. He stops in front of you, takes a breath and shouts:^^'I have returned with the answer to your message. {s9} was very offended by your war declaration. He called you treacherous rat and said you would pay dearly.^^From now on, you are at war with {s2}'
qstr_The_other_man_is_not|The other man is not very happy and criticizes you when you leave, generating unfavorable rumors.
qstr_Neither_man_is_happy|Neither man is happy, nor unhappy. You seem to have found a balance.
qstr_The_two_men_are_not_|The two men are not very happy and criticize you when you leave, generating unfavorable rumors.
qstr_People_in_{s4}_think|People in {s4} think that you will not guarantee their families' protection against those who abuse their power under your favor. Rumors spread that you are a bad {reg59?lady:lord}.
qstr_People_in_{s4}_think_|People in {s4} think that you will not guarantee their families' protection because the messenger will not be punished. Rumors spread that you are unjust.
qstr_People_in_{s4}_think_t|People in {s4} think that you will not guarantee their families' protection because the messenger will not be punished, but at least their fellow citizen will not be punished. However, your men aren't happy with your generosity to a man who attacked someone under your protection.
qstr_People_in_{s4}_think_th|People in {s4} think that you will guarantee their families' protection, and they seem happy. However, you men aren't happy that you will kill their companion.
qstr_The_local_leader_is_|The local leader is upset with you and talks bad about you to the elites of {s4}.
qstr_People_in_{s4}_are_s|People in {s4} are surprised by your drastic measures, and everyone seems more willing to follow your rules.
qstr_Farmers_in_{s4}_are_|Farmers in {s4} are concerned about their daughters as you favor the powerful who take advantage of their weakness.
qstr_Farmers_in_{s4}_are_r|Farmers in {s4} are reassured when you pay, while the local leader is happy not to be punished.
qstr_The_outcome_of_the_t|The outcome of the trial has seriously shaken the people of {s4} and has called into question your authority.
qstr_Your_men_think_you_re|Your men think you're a weak leader who is easily manipulated.
qstr_Your_men_seem_uncomf|Your men seem uncomfortable, and some of them leave you. You should try to improve morale of the rest soon.
qstr_Your_men_seem_uncomfo|Your men seem uncomfortable, but no one says a word. It looks like you got a little more respect, but should strive to improve their morale.
qstr_Eventually_the_man_d|Eventually the man dies in torment while your soldiers try to force him to pay his taxes. His last words were, 'Boys, beyond, where you are, I am coming.' The city is shocked by his death, and many people complain about you in {s4}.
qstr_The_man_seems_calmed|The man seems calmed by your words. You see in his eyes an infinite sadness, but he promises to pay his taxes in the memory of his boys.
qstr_Your_renown_before_y|Your renown before your warriors and you money bag suffer, but the people of {s4} seem happy with the money you have given them.
qstr_Your_men_push_the_cr|Your men push the crowd, injuring some. Suddenly, the people turn against them, causing some casualties before being dispersed.
qstr_You_run_through_the_|You run through the back door while the crowd calls you a coward and miser, even as they continue to beg for money.
qstr_People_thinks_the_me|People thinks the measure is fair to both.
qstr_The_tree_owner_is_no|The tree owner is not very happy and criticizes you when you leave, generating unfavorable rumors.
qstr_The_man_who_cut_tree|The man who cut trees is not very happy and criticizes you when you leave, generating unfavorable rumors.
qstr_People_in_{s4}_are_h|People in {s4} are happy because you responded to their needs.
qstr_People_in_{s4}_are_u|People in {s4} are unhappy with you because you don't respond to their needs.
qstr_eople_in_{s4}_are_un|eople in {s4} are unhappy with you because you don't respond to their needs.
qstr_Although_the_local_l|Although the local leader supports your position in {s4}, your men think it is a disgrace to have the boy among them.
qstr_Although_the_local_le|Although the local leader pays you well, your men think it is a disgrace to have the boy among them.
qstr_The_local_leader_lev|The local leader leverages his position to undermine yours in {s4} as punishment for you not accepting his son.
qstr_During_the_night_at_|During the night, at a fire ceremony and dance, the girl is burned as an offering to the gods.
qstr_People_superstitious|People, superstitious, are angry at you. Some time later you find out that another girl was sacrificed.
qstr_The_physician_you_se|The physician you send manages to save some lives and prevent the epidemic from spreading to other areas.
qstr_The_epidemic_wipes_o|The epidemic wipes out the population of the village. Although your measures prevented anyone from spreading the disease beyond {s4}, many lost relatives who lived in the village. The rumor spreads that you are a murderer.
qstr_{s4}_is_a_Christian_|{s4} is a Christian settlement, and everyone obeys your orders quickly. Somehow it seems that your prayers are successful and the girl and the child survive.
qstr_{s4}_is_a_pagan_sett|{s4} is a pagan settlement, and nobody obeys your orders. It seems that your prayers weren't necessary, for the girl and the child survive.
qstr_{s4}_is_a_Christian_s|{s4} is a Christian settlement, and nobody obeys your orders. It seems that wise-woman wasn't necessary, for the girl and the child survive.
qstr_{s4}_is_a_pagan_settl|{s4} is a pagan settlement, and everyone obeys your orders quickly. Somehow it seems that wise-woman's support let the girl and the child survive.
qstr_Your_men_are_happy_t|Your men are happy that you are concerned about their welfare, especially when they make sacrifices for you.
qstr_The_sum_is_enough_fo|The sum is enough for the local lord to fulfill his duty, but it is not munificent. The man is grateful, but not happy.
qstr_Your_men_are_angry_t|Your men are angry that you do not back a man who spent his money to serve you. They fear that your stinginess will affect them next.
qstr_The_rumor_that_you_r|The rumor that you refuse to buy the relic leads the faithful to curse your name.
qstr_The_monk_is_removed_|The monk is removed from your presence, distressed. In {s4}, the inhabitants are happy that you respect their beliefs.
qstr_The_relic_cause_a_st|The relic cause a stir among the faithful, who flock to see it and praise your name for its purchase.
qstr_The_monk_is_happy_to|The monk is happy to use the relic to evangelize the pagans of {s4}. They, on the other hand, curse your name.
qstr_The_rich_woman_s_hus|The rich woman's husband, who happens to be a lord in {s4}, becomes very angry with you and damages your reputation.
qstr_The_poor_people_in_{|The poor people in {s4} get angry when you give the child to a rich woman without making a sincere determination.
qstr_Everyone_in_{s4}_thi|Everyone in {s4} thinks you've been wise and just to find the mother of the child and return the baby, while punishing the liar without being influenced by her wealth.
qstr_The_crowd_kills_the_|The crowd kills the rich woman. The rich woman's husband, who happens to be a lord in {s4}, becomes very angry with you and damages your reputation.
qstr_The_poor_people_in_{s|The poor people in {s4} get angry when you give the child to a rich woman without making a sincere determination. Some disturbances ending in violence occur. During the fighting, many citizens die before retiring, but you also lose some men.
qstr_The_people_of_{s4}_d|The people of {s4} do not want their children to starve for your tax, and are openly against you.
qstr_The_people_of_{s4}_a|The people of {s4} are very happy for your help in hard times.
qstr_The_people_of_{s4}_ar|The people of {s4} are angry that you don't care about their problems.
qstr_The_people_of_{s4}_t|The people of {s4} think that this is bread for today and hunger for tomorrow, but they understand that these things happen.
qstr_The_witch_leaves_the|The witch leaves the town for an unknown destination.
qstr_The_witch_appreciate|The witch appreciates your confidence and leaves her old job to openly worship the old gods.
qstr_The_witch_hunt_costs|The witch hunt costs some innocent lives, causing unrest among the population.
qstr_{s4}_is_a_Christian_se|{s4} is a Christian settlement, so in the end, your orders are obeyed.
qstr_{s4}_is_a_pagan_settle|{s4} is a pagan settlement, so there is much anger when the tree is felled.
qstr_{s4}_is_a_Christian_set|{s4} is a Christian settlement, and the murder of the missionary and his followers shocks the population. They are terrified of you.
qstr_{s4}_is_a_pagan_settlem|{s4} is a pagan settlement, and the murder of the missionary and his followers is supported. Soon after, you find out that the missionary is canonized as Saint Cuthberh.
qstr_The_missionary_and_h|The missionary and his followers leave {s4}, escorted by your men, without much fuss.
qstr_Your_men_take_kindly|Your men take kindly the sign that you concern about their families.
qstr_Your_men_are_unhappy|Your men are unhappy that you don't take care of their widows.
qstr_Your_men_are_upset_t|Your men are upset that you won't take care of their widows if they are killed.
qstr_Your_men_are_happy_to|Your men are happy to hear that you care about their families.
qstr_Your_men_are_very_ha|Your men are very happy that you protect their families.
qstr_Your_followers_feel_|Your followers feel that you will protect them at any cost, but the people in {s4} are not very happy with your decision. They criticize you when you leave, generating unfavorable rumors.
qstr_Your_followers_feel_t|Your followers feel that you not protect them as they deserve for their services, but the people in {s4} are very happy with your decision. The rumor spreads that you are just.
qstr_Your_followers_feel_th|Your followers feel that you not protect them as they deserve for their services. The people in {s4} are not very happy with your decision. They criticize you when you leave, generating unfavorable rumors.
qstr_To_arms!_Some_citize|To arms! Some citizens have revolted and try to kill you!
qstr_Your_men_charge_down|Your men charge down the streets, using the sword at the slightest provocation, avenging their fallen fellows. A bloodbath ensues as the people of {s4} flee to their homes to hide.
qstr_Your_men_are_very_an|Your men are very angry that you have taken no action against the murder of their fellows. Meanwhile, local leaders try to quell the hatred against you in {s4}.
qstr_Mercilessly_your_men|Mercilessly your men kill anyone that crosses their way, then enter the houses, killing all men over 14 years of age. The fame of your cruelty travels as the wind. Fear seizes all who talk about you. Now {s4} is pacified, but the cost has been very high.
qstr_Your_men_return_with|Your men return with 300 penings and two survivors.
qstr_A_messenger_sent_fro|A messenger sent from {s12} arrives and gives you a present of silver and jewelry in appreciation of your friendship.
qstr_A_messenger_sent_from|A messenger sent from {s12} arrives and gives you a message with all kinds of insults and profanities, {s12} invites you to go and look for him if you have guts which {s12} believes you don't, as you're a notorious coward.
qstr_Your_fame_grows_with|Your fame grows with the bard's song, but soon he replaces your name with that of another lord who pays him.
qstr_Your_fame_grows_high|Your fame grows higher with the bard song.
qstr_Beggars_everywhere_b|Beggars everywhere bless your name when you pass by and celebrate your generosity.
qstr_Beggars_soon_tire_of|Beggars soon tire of following you.
qstr_You_laugh_to_see_how|You laugh to see how sprightly these broken-down old fellows can actually run.
qstr_The_young_noble_pref|The young noble prefers to flee rather than duel with you!
qstr_The_word_spreads_tha|The word spreads that it is easy to insult you and diminish your reputation!
qstr_The_woman_and_her_hu|The woman and her husband are happy for your generosity!
qstr_Other_men_join_in_an|Other men join in and also leave to help their families.
qstr_The_rumors_hurt_your|The rumors hurt your fame a little, but soon the merchant gets tired of your lack of interest.
qstr_The_man_accepts_the_|The man accepts the money and stops circulating rumors.
qstr_A_new_rumor_that_you|A new rumor that you're a murderer and a tyrant spreads among the population after the death of the merchant!
qstr_The_animal_runs_free|The animal runs free without looking back.
qstr_You_increase_your_me|You increase your meat reserves.
qstr_Three_veterans_join_|Three veterans join your army.
qstr_The_veterans_leave_d|The veterans leave, defaming your name.
qstr_Among_the_bodies_you|Among the bodies, your men find 1000 penings.
qstr_A_group_of_6_women_j|A group of 6 women join your army.
qstr_The_crane_was_a_symb|The crane was a symbol of war for the ancient Celts. Your men are impressed by your knowledge and grateful that the gods are with them.
qstr_Your_men_pass_by_the|Your men pass by the bird without noticing it.
qstr_The_crane_was_a_symbo|The crane was a symbol of war for the ancient Celts. Your ignorance troubles your men, and they begin to doubt your fitness to lead.
qstr_Your_men_resent_the_|Your men resent the punishment, but recognize your authority. The action sets a precedent for discipline.
qstr_Offended_by_your_con|Offended by your contempt for his request, the farmer leaves and spreads the claim of your villainy.
qstr_You_spend_time_with_|You spend time with the priest's wife, and when her husband returns, you escape to the stable without being seen!
qstr_Three_Hirdmenn_join_|Three Hirdmenn join your army!
qstr_The_man_s_eyes_sadly|The man's eyes sadly follow you while you go on your way.
qstr_You_feel_good_for_hel|You feel good for helping him.
qstr_When_you_give_him_ar|When you give him armor and food, he proves to be a mighty warrior.
qstr_The_bandits_turn_awa|The bandits turn away, greatly disappointed.
qstr_After_two_hours_the_|After two hours the bandits return with some loot and someone's head...
qstr_On_the_remains_of_a_|On the remains of a corpse are a sword and armor of a king. They are magnificent weapons, once the rust is removed to reveal their high quality. Now they are yours -- if you do not mind the bad luck that attends grave robbers.
qstr_Someday_perhaps_you_|Someday, perhaps, you might have the honor of being buried like a king.
qstr_Meat_is_a_welcome_ad|Meat is a welcome addition to the diet of your men.
qstr_The_days_get_longer_|The days get longer and the bony grip of winter loosens. Green leaves crown the trees once more. 
qstr_The_sun_greets_you_e|The sun greets you early in the morning and sends you to bed at night.
qstr_As_nature_becomes_a_|As nature becomes a plethora of colours, people replenish their stores and prepare for winter.
qstr_The_night_steals_fro|The night steals from the day and grows long, while the frost threatens to do away with the weak and the old.
qstr_You_have_become_bers|You have become berserker. Going berserk you will get a great velocity and strength in the heat of battle, and this brutal ferocity will dye your sight in red. (Use key T to increase your power strike).
qstr_Your_studies_in_poet|Your studies in poetry and retorics have been productive. This newly adquired oratory will increase your leadership in battle as your warcries will heighten the fierceness of your men in combat. (Use key T to evoke a war roar)
qstr_The_exhausting_athle|The exhausting athletics training you have led to your troops makes them faster and more maneuverable in battle. By now the shield taunt will show this unusual swiftness. (Use key T to evoke a shield taunt)
qstr_Your_incessant_conce|Your incessant concern about the maintenance of your men's shields and armors makes harder for the enemy to wound them. This Ironflesh improvement will be shown by the shield taunt. (Use key T to evoke a shield taunt)
qstr_Breaking_camp...|Breaking camp...
qstr_Winter_is_the_worst_|Winter is the worst time for war. It's cold, it rains too much and food is scarce. In winter, men would rather shelter by the fire than campaign. Watch your morale and your food stores.
qstr_A_livestock_epidemic|A livestock epidemic has killed {reg4} cattle in {s4}.
qstr_Your_party_is_spotte|Your party is spotted by {s1}.
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?have:has} escaped from your party during the night.
qstr_{s1}_of_the_{s3}_has|{s1} of the {s3} has been released from captivity.
qstr_{s1}_is_no_longer_in|{s1} is no longer infested by bandits at night.
qstr_{s1}_has_won_the_tou|{s1} has won the tournament at {s2}.
qstr_You_pay_for_accommod|You pay for accommodation.
qstr__Your_tactics_skill_| Your tactics skill has increased by 1.
qstr__Your_persuasion_ski| Your persuasion skill has increased by 1.
qstr__Your_leadership_ski| Your leadership skill has increased by 1.
qstr__Your_intelligence_h| Your intelligence has increased by 1.
qstr__Your_trade_skill_ha| Your trade skill has increased by 1.
qstr__Your_weapon_master_| Your weapon master skill has increased by 1.
qstr__Your_engineer_skill| Your engineer skill has increased by 1.
qstr_You_have_finished_re|You have finished reading {s1}.{s2}
qstr_Book_Read|Book Read
qstr_Christian_monastery|Christian monastery
qstr_Christian_church|Christian church
qstr_shrine_to_Norse_Gods|shrine to Norse Gods
qstr_temple_to_Odin|temple to Odin
qstr_People_of_{s24}_are_|People of {s24} are unhappy with your religious intolerance, and destroyed {s25}.
qstr_{s1}_is_scouted.|{s1} is scouted.
