qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_Your_self_confidence|Ваша уверенность в себе утешает меня, но я должен сообщить вам, что король будет побежден армией зла, и только с приходом армии Бога будет спасен мир. Однако, если вы когда-нибудь станете королем, мне будет приятно сражаться и умереть рядом с вами.
qstr_I_m_surprised_that_y|Я удивлен, что вы видите какую-либо выгоду в несчастье других. Ты, безусловно, более безжалостный, чем я думал.
qstr_You_need_to_rid_your|Вам нужно избавиться от высокомерия. (Флегматик)
qstr_I_am_always_willing_|Я всегда готов учиться. Спасибо, Эгиль. (Меланхолик)
qstr_I_think_it_s_clear_t|Я думаю, понятно, что судьба более благосклонна ко мне, чем к вам. (Холерик)
qstr_Silence!_You_shall_n|Тишина! Вы не должны проявлять неуважение к моему авторитету! (Сангвиник)
qstr_Yes_I_pretended_to_b|Да, я притворялся скромным. Ну, это то, что приходит естественно для меня, но высокомерие-это хорошо для лидера. Вы должны научиться быть немного высокомерным, когда это необходимо-это часть моего совета-и мужчины должны видеть вашу уверенность в себе. Ваши приказы должны быть четкими, и каждый, кто не следует им должен быть наказан. Это то, что я ценю в лидере, и я рад, что вы слушали. Но достаточно разговоров.
qstr_I_understand_someone|Я понимаю, кто-то любит тебя, хоть вы не обладаете моими опытом и знаниями. Но важно, что вы учитесь у меня, {playername}. Стараетесь быть похожим на меня, я тот, кем люди восхищаются и уважают. И еще бы посоветовал вам быть первым в бою, подавая пример для мужчин, и делись долей серебра с бойцами без жадности. Вот мои советы. Сейчас у меня дела.
qstr_Your_men_see_the_way|Ваши мужчины видят, как Эгиль относится к вам, и вы теряете авторитет.
qstr_And_people_say_that_|И люди говорят, что я высокомерный! Но что я могу сказать? Ну, мне это нравится. Вот что я ценю больше всего в лидере: способность демонстрировать уверенность в себе и убедить в этом окружающих своей харизмой. Вы правы, мне нечему вас учить.
qstr_I_only_pretended_to_|Я только притворился, что даю советы, но, очевидно, вы не желаете их слушать. Ну ты отдал приказ, демонстрируя свою власть, но это не значит, что ты хороший лидер. Я буду подчиниться, заткнусь и вернусь к своим делам.
qstr_I_am_just_a_poor_far|Я всего лишь бедный фермер здесь, поговори в Усадьбе Рива там.
qstr_I_just_work_the_fiel|Я просто работаю на поле здесь, поговори в Усадьбе Рива там.
qstr_Stranger_go_talk_to_|Незнакомец, иди поговори до Усадьбы Рива туда, если хотите сделать дела здесь.
qstr__no_fiefs_|(без феода)
qstr__fiefs:_{s0}_|(феоды: {s0})
qstr_{!}g_talk_troop_=_{r|{!}g сказать отряду = {reg0} , g обнаружил группу = {reg1} , слот величины = {reg2}
qstr___The_child_looks_at|--Ребенок смотрит на вас с веселыми глазами и смеется.--
qstr_My_mom_did_not_want_|Моя мама не велела мне говорить с незнакомыми людьми. До свидания, {reg59?моя леди:сэр}
qstr_Running_is_fun!_I_ca|Бег это весело! Я могу бежать быстрее, чем вы! Ты хочешь это увидеть?
qstr_We_are_landless_poor|Мы безземельные крестьяне, бедные и гонимые. Жизнь привела нас к этому, {reg59?девочка:мат}. Не делай резких движений и мы пройдем через вас.
qstr_Luckily_for_you_you_|К вашему счастью, вы застали меня в хорошем настроении. Дайте нам все ваши монеты и я мог бы просто позволить вам жить.
qstr_This_a_robbery_eh?_I|Это грабеж, да? Я дам вам один шанс сдать все что вы имеете, или я и мои товарищи убьют тебя. Понятно?
qstr_big|большой
qstr_medium_sized|средний
qstr_small|небольшой
qstr_don_t_|не
qstr_Примечание_4:_{s9}_has_sen|Примечание 4: {s9} послал людей, чтобы убить вас. Они подстерегают вас на берегу реки, и хотя вы пережили атаку, ваш сон теперь менее спокоен.
qstr_They_weren_t_good_ti|Это были не лучшие времена. 861 от Р.Х, мой учитель, Бишоп Свитунус, мертв. Прежде, чем умереть, он сказал мне, что придет конец времени.^^В 865 языческая армия напала на Цент. Воинам из Цента удалось остановить их, но под предлогом мира и с привлечением денежных средств, захватчики тем не менее разграбили страну.^^Позднее в том же году, в Восточной Англии, большая языческая армия обосновала зимний лагерь._The_following_summer,_King_Eadmund,_eager_to_see_them_off,_quickly_horsed_them._This_was_no_raiding группу;_it_became_known_as_the_Great_Heathen_Army._Thousands_of_men,_led_by_the_sons_of_Ragnar,_had_come_to_stay.^^In_867,_the_end_of_time_started,_as_Swithunus_had_predicted._The_Great_Heathen_Army_of_Danes_went_over_the_mouth_of_the_river_Humbre_to_Eoferwic._They_captured_the_town,_and_there_was_an_immense_slaughter_of_the_Northumbrians._Both_kings,_Osbert_and_Aella,_were_slain._So_now_the_Danish_rule_the_north,_imposing_their_laws_and_pagan_ways..._Where_is_God_when_you_need_him?^^In_the_south,_the_Friese_coast_was_being_devastated_by_Vikings._Merchant_ships_fled_north,_seeking_the_protection_of_West_Seaxe.^^In_Ireland_and_Wales,_the_pagans_were_becoming_more_powerful_each_day._Many_said_that_the_Dal_Riata_and_land_of_the_Picts_would_soon_be_no_more...
qstr_My_name_is_Beda_The_|Меня зовут Бодо Старый,и я хочу рассказать вам об этом мире, так что слушайте внимательно...^^Британия. Бритты называют ее Инис Придэн, Гоиделы называют ее Альба в то время как Англы и саксы дали имя Англия, те земли, которые они завоевали. Эти острова большие, богатые и красивые... и желанные. Так что земля в настоящее время находится в состоянии войны и уважает только закон меча и копья. Королевства появляются и исчезают, короли умирают на полях сражений. Женщины вдовеют, и лошади возят оружие вместо сена. Крики воинов наполняют воздух, и земля лежит бесплодная от вытаптывания армий. Как и в прошлые эпохи междоусобиц, смертельные враги вооружаются, одевают доспехи. Вороны кричат, волки воют, копья бьются и щиты звенят.^^На севере королевства англов крушатся под наступлением датчан. Сыновья пресловутых викингов лорд Рагнара, новые Короли этих земель, теперь правило Bernacia, Дейра и Элмет, земля, известная как Нортумбрия.^^На юге, Западные Саксы, возглавляемые Этельредом и его братом Альфредом, готовятся к войне. Они знают, что на другой стороне моря, всё больше датчан готовиться, чтобы пересечь океан в поисках славы и богатства.^^Оттесненные в отдаленные окраины родной земли веками вторгаясь на сушу, коренные британцы, теперь находятся под угрозой викингов на их побережьях. Они отчаянно бороться, чтобы не потерять то немногое, что у них осталось, мечтая о короле, который объединит их всех и приведет их к окончательной победе -- новый король Артур. Реальность такова, что их справедливые законы о наследовании держит запасы каждого Лорда малыми и единства труднее добиться. Тем не менее, их лидер, Родри Великий Гвинед, начал диктовать свою волю всему остальному Уэльсу.^^В землях Крайнего Севера, Норвежские захватчики тридцать лет назад уничтожили конкурирующих Гэльских и Пиктских лордов одним роковым ударом в трехстороннем сражении. После этой катастрофы, Гэльский лидер Кеннет МакАльпин начал создавать новое Королевство из двух народов, но они были вытеснены в центр Хайленда, своих бывших территорий.^^За морем, в Ирландии, Аэд 'Справедливый' из рода Нейллов. Айлех стал Верховным королем в Temair после преодоления своих врагов, но это не более чем титул.С его требованиями никогда не соглашалась другая половина рода Нейллов, борьба за землю, женщин и скот, в братоубийственных войнах, присущных для этой земли, продолжается. Между тем, как датчане и норвежские Викинги создали десятки прибрежных крепостей и используют реку для грабежей гойдельских глубинок, но они все слишком склонны присоединиться к конфликту -- со всех сторон.^^^Мир-это хаос, а хаос-это война.
qstr_Price:_{reg7}_pening|Цена: {reg7} шиллинго
qstr_You_toss_the_offendi|Вы оскорбляете в ответ!
qstr_You_make_your_big_pu|Вы совершили покупку!
qstr_From_Troop:_|Отряды: 
qstr_Do_you_want_to_save_|Сохранить?
qstr_On_several_occasions|В ряде случаев по всей вашей жизни, вы видели странные латинские буквы, и поэтому быстро научиться читать. Возможно, со временем вы также научитесь писать!^^Для этого вы должны остаться на неделю в монастыре. Хотите найчиться грамоте?
qstr_No_one_here_wants_to|Никто здесь не хочет присоединиться к вашей группе.
qstr_One_{s3}_is_willing_|Один {s3} готов следовать за вами.
qstr_{reg5}_{s3}_are_will|{reg5} {s3} готов следовать за вами.
qstr_You_need_to_get_the_|Вы должны получить разрешение от Лорда чтобы нанимать сдесь отряды.
qstr_Recruit_them__{reg6}|Нанять их за ({reg6} шиллингов).
qstr_One_{s3}_volunteers_|Один {s3} доброволец следует за вами.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} доброволец следует за вами.
qstr_My_Boats|Мои корабли
qstr_Boats_for_Sale|Корабли на продажу
qstr_No_ships_for_sale^in|Нет кораблей на продажу^в этом городе.
qstr_No_Name|без Имени
qstr_Money:_{reg7}_pening|Деньги: {reg7} шиллингов
qstr_Fleet_Capacity:_{reg|Вместимость флота: {reg1}/{reg2}
qstr_You_don_t_have_the_m|У вас не хватает денег, чтобы заплатить своим людям, за укрепления лагеря. Они продолжают работать, но без энтузиазма.
qstr_Back_to_Siege|Продолжить осаду
qstr_Your_Siege_Camp|Осадный лагерь
qstr_You_are_besieging_th|Вы осадили врага.^Здесь вы можете управлять ресурсами лагеря.
qstr_^Send_men_to_forage_n|^Отправить людей найти пропитание. Они будут возвращаться с пропитанием каждые 12 часов.
qstr_Your_Sea_Camp|Морской лагерь
qstr_The_ship_is_at_the_m|Корабль во власти ветра, когда вы останавливаетесь, для отдыха.^Здесь вы можете управлять ресурсами лагеря.
qstr_Number_of_Sailors:|Количество матросов:
qstr_Speed_by_Sailors:|Скорость Матросов:
qstr_View_Ship|Посмотреть Корабль
qstr_Followers_Camp|Лагерь компаньонов
qstr_Your_army_is_accompa|Ваша армия сопровождается компаньонами из разных слоев общества.^^Компаньоны приносят различные бонусы и оказывают моральную поддержку, но недостаток их присутствия, в том что армия передвигается медленее.^^Вы можете откозаться от их услуг любое время, но при это повлияете на моральное состояние вашей армии.^^Также вы можете состовлять различные группы войск с компаньонами, например группа священников и предостовлять им различные войска для их защиты.^^Но не забывайте большие потери в Армии приведут к бунту Компаньонов и они отрекуться от вас.
qstr_Smith|Кузнец
qstr_Healer|Врач
qstr_Mules|Мулы
qstr_Slave_Trader|Торговец рабами
qstr_Dismiss|Уволить
qstr_King:|Король:
qstr_{!}{playername}|{!}{playername}
qstr_King_s_Towns:|Города короля:
qstr_King_s_Forts:|Замок короля:
qstr_King_s_Villages:|Поселение короля:
qstr_Lords:|Лорды:
qstr_Caravans:|Караваны:
qstr_Kingdom_Towns:|Королевский город:
qstr_Kingdom_Forts:|Королевский замок:
qstr_Kingdom_Villages:|Королевское поселение:
qstr_Places_without_Lord:|Места без Лордов:
qstr_Prisoner_Lords:|Лорды узники:
qstr_Minister:|Министр:
qstr_Tax_Enforcement:|Налоговая ставка:
qstr_Yes__costs_3000_peni|Да (3000 шиллингов/неделя)
qstr_No__tax_revenue_lowe|Нет (снизить налоги))
qstr_King_s_Army_Size:|Армия Короля:
qstr_Royal_Decree|Королевский указ
qstr_Kingdom_Info|Королевство
qstr_Lords|Лорды
qstr_Economy|Экономика
qstr_Diplomacy|Дипломатия
qstr_Kingdom_Armies|Королевская армия
qstr_Kingdom_Centers|Королевские центры
qstr_Rename_Kingdom|Переименовать Королевство
qstr_Make_a_Royal_Decree:|Создать королевский указ:
qstr_Gather_Our_Forces|Собрать ваши войска
qstr_Defend_the_Kingdom|Защитить королевство
qstr_You_order_the_lords_|Вы приказываете Лордам предоставит вам их войска.
qstr_You_order_the_kingdo|Вы приказываете защищать Королевство.
qstr_You_cannot_do_this_n|Вы не можете это сделать.
qstr_Exhausted|Измученный
qstr_Very_Tired|Очень устал
qstr_Tired|Устал
qstr_High|Полный сил
qstr_You_head_into_town_t|Вы должны быть в городе что бы оснашять ваши войска...
qstr_Penings:_{reg0}|Запертые: {reg0}
qstr_Save_for_Wages:_|Сохранить на заработную плату: 
qstr_Reset|Сброс
qstr_Commit|Совершить
qstr_blue_and_white|Синий и белый
qstr_red_and_white|Красеый и белый
qstr_rich_striped|Полосато янтарный
qstr_green_and_yellow|Зеленый и желтый
qstr_red|Красный
qstr_blue_and_red|Синий и красный
qstr_plain|Простой
qstr_blue_and_yellow|Синий и желтый
qstr_Sail:_{s0}^|Парус: {s0}^
qstr_tarred|Просмоленный
qstr_tarred_and_red|Просмоленный и красный
qstr_varnished|Лакированный
qstr_varnished_and_purple|Лакированный и фиолетовый
qstr_blue|Синий
qstr_blue_red_and_green|Синий, красный и зеленый
qstr_green|Зеленый
qstr_When_you_open_your_e|Когда вы снова открыли глаза, вы получили благословение богов. Возможно, это всего лишь воображение, но вы чувствуете что более умело стали обращаться с оружием.
qstr_When_you_open_your_ey|Когда вы снова открыли глаза, вы получили благословение богов. Возможно, это всего лишь воображение, но вы чувствуете что стали привлекательнее.
qstr_When_you_open_your_eye|Когда вы снова открыли глаза, вы получили благословение богов. Возможно, это всего лишь воображение, но вы чувствуете что стали сильнее.
qstr_When_you_open_your_eyes|Когда вы снова открыли глаза, вы получили благословение богов. Возможно, это всего лишь воображение, но вы чувствуете что стали умнее.
qstr_When_you_open_your_eyes_|Когда вы снова открыли глаза, вы получили благословение богов. Возможно, это всего лишь воображение, но вы чувствуете что стали быстрее.
qstr_You_open_your_eyes_a|Ты открыли глаза, но ничего не изменилось. Боги не приняли жертву.
qstr_An_old_Roman_at_{s3}|Старый Римлянен из {s3} попросил вас принести ему 8 мешков пшеницы.
qstr_I_have_a_good_load_o|У меня много минералов.
qstr_I_have_loads_of_both|У меня доступны обе руды: камень и минералы.
qstr_I_have_a_good_load_of|У меня много камней.
qstr_I_have_loads_of_salt|У меня много соли сегодня.
qstr_Come_with_me.|Пойдем со мной.
qstr_I_have_some_salt.|У меня есть немного соли.
qstr_I_have_plenty_of_tim|У меня много бревен.
qstr_Come_this_way.|Пойдем этой дорогой.
qstr_I_have_some_timber_a|у меня не много бревен.
qstr_I_have_nice_cows_hug|у меня отличные коровы, большие и толстые, готовы к продаже в городе. я был бы рад продать их хоть прямо сейчас.
qstr_I_have_raw_materials|у меня есть сырье для произвоства.
qstr_I_have_a_few_things_|у меня есть немного вещей на продажу.
qstr_The_mayor_of_{s13}_h|Управляющий из {s13} попросил вас совершить сделку с мародерами в окрестностях.
qstr_{s9}_of_{s3}_asked_y|{s9} из {s3} попросил вас доставить {reg5} единиц {s6} в зал правителя в {s4} в течение 7 дней.
qstr_Escort_the_merchant_|Сопроводить торговый караван в {s8}.
qstr_Merchant_{s9}_of_{s4|Торговец {s9} из {s4} попросил вас выследить бандитов ошивающихся в окрестностях города.
qstr_The_mayor_of_{s4}_ga|Наместник из {s4} дал вам {reg12} шиллингов чтобы заплатить за девушку похищенную бандитами. Ты найдешь бандитов возле {s3} и выплатишь им_выкуп. После этого вы приведете девушку в {s4}.
qstr_The_mayor_of_{s4}_pr|Наместник из {s4} выплатил вам {reg12} шиллингов если вы обеспечите {s12} и {s13} не долгим мирным соглашением {s15} и {s14}. Помимо этого вы должны будете предоставить доказательства.
qstr_The_mayor_of_{s14}_h|Наместник из {s14} попросил вас решить проблему с группой бандитов тероризирующих улицы в {s14}. При наступлением ночи они нападают на одиноких путников.
qstr_The_mayor_of_{s10}_a|Наместник из {s10} попросил перевести {s13} голов скота. Ты заработаешь {reg8} по окончанию работы.
qstr___His_eyes_widen.__|--его зрачки расширились.--
qstr_He_has_killed_many_p|Он убил много людей, а также мою мать. я должен найти его! (Бесстрашно)
qstr_I_know_but_he_must_d|я знаю, но он должен умереть! Втныне, он мой заклятый враг! Где Свен, Тонкрик? (Грустно)
qstr_Sven_had_the_audacit|Свен очень смел, раз атаковал мой корабль. Вн дорого за это заплатит! Где он? (Раздраженно)
qstr_Sven_is_my_goal_now.|Свен - моя цель. Любой, кто встанет у меня на пути, будет моим врагом! Где Свен? (Вспыльчиво)
qstr___He_looks_frightene|--Вн выглядит испуганным.--
qstr_Note_1:_Doccinga_fish|Заметка 1: Доккингский рыбак спас вас вытащив из моря. Похоже, вы единственный оставшийся в живых. Свен атаковал ваш корабль.
qstr_{s9}_told_me_that_{s|{s9} сказал мне что {s3}, правитель {s1}, может знать где находится Свен Бычья-Шея.
qstr___He_rubs_his_hands_|--Вн нервно трет руки.--
qstr___He_points_to_the_s|--Вн точка в море, на которой вы можете разглядеть три паруса.--
qstr___He_seems_nervous_n|--Вн выглядит нервным не жестикулируя руками.--
qstr_Thonkrik_from_{s3}_t|Тонкрик из {s3} сказал вам {s9} нужно быть в союзе со Свеном Бычья-Шея в его попытке захватить трон Фризии.
qstr_Note_4:_You_chose_to|Заметка 4: Ты выбрали убить заключенного викинга в {s3}.
qstr_Note_4:_You_chose_to_|Заметка 4: Ты выбрали сохранить жизнь заключенному викингу в {s3}.
qstr_Note_2:_The_Viking_pr|Заметка 2: Заключенный викинг в {s3} сказал вам где остальные выжившие после атаки на Одиноком Рике. Их приняли в убежище которое принадлежит Свен Бычья-Шея из Дании.
qstr_{s11}_told_me_that_I|{s11} сказал что меня ждет корабль на берегу возле Доккинга. Единственным условием является, чтобы взять его дочь с собой. Вастало время покинуть Фризию.
qstr_He_is_not_commanding|Вн не командует людьми в данный момент.
qstr_He_currently_command|Сейчас он командует {reg0} человек {reg1?, возле {reg1} раненых:}.
qstr_I_am_the_leader_of_t|Я командир этой области. Ты умен, раз спросил у меня.
qstr_Looking_for_men_who_|Ищешь людей, готовых пойти на риск, готовых пожертвовать собственной шкурой ради богатства и славы, да? 
qstr_Interesting._You_re_|Интересно. Ты ищешь людей, а я, по стечению обстоятельств, знаю нужных тебе молодцов в этих землях.
qstr_You_don_t_trust_me._I|Ты не доверяешь мне. Я понимаю. Может я здесь и недавно, но я по-своему хорош. (Вяло)
qstr_I_don_t_like_what_yo|Мне не нравится что ты говоришь. Я пришел сюда за рекрутами, зачем тратишь мое время? (Печально)
qstr_Believe_me_I_have_li|Поверь мне, нужно лишь немного терпения. Мы можем пойти по легкому пути, или по трудному. (Раздраженно)
qstr_I_see._Well_you_look|Я вижу. Хорошо, ты выглядишь вполне разумным человеком. Давай обсудим... (Оптимистично).
qstr_You_a_good_person?_H|Ты, хороший человек? Да! Наша репутиция говорит об обратном.
qstr_I_see_where_you_are_|Я вижу к чему вы клоните. Хорошо, я согласен с вами, но убив меня, вы потеряете сон. Наша репутация окончательно оправданна.
qstr_I_understand_for_you|Я понимаю, репутация для вас превыше всего. мучше я приму ваши условия, чем стану вашим врагом.
qstr_There_is_no_negotiat|Между кошкой и мышью переговоры невозможны.
qstr_I_see_you_look_like_|Вижу, вы выглядите как порядочный человек. Давайте поговорим.
qstr_It_is_you_who_wastes|Ты испытываете мое терпение и тратите мое время.
qstr_You_ll_get_nothing_w|Угрожая, вы ничего не добьетесь.
qstr_Very_well._Let_s_sta|Вчень хорошо. Давайте начнем переговоры.
qstr_I_don_t_trust_you_st|Я не верю вам, вы отнимаете мое время.
qstr_I_see_where_you_are_g|Я знаю к чему вы ведете. Хорошо, я согласен с этой сделкой. Ты потеряешь сон после моей смерти.
qstr_Yes_yes_I_got_it._Yo|Да, да, я сделаю это. Нашим путем или своим.
qstr_Negotiation?_Ha!_Fin|Переговоры? Да! Найди себе друга, ты не можешь расчитывать на меня одного!
qstr_I_see_you_look_like_s|я вижу, ты человек с золотым языком. Хорошо, давай поговорим.
qstr_Yes_I_must_admit_you|Да, дожен признать вашу правоту.
qstr_Interesting._Seems_I|Интересно. Похоже, я не с идиотом говорю.
qstr_From_this_moment_on_|Ва данный момент вы можете нанимать рекрутов в этой деревне.
qstr_The_elder_of_the_vil|Староста деревни {s3} попросил вас принести ему {reg5} мешков пшеницы.
qstr_The_elder_of_the_vill|Староста деревни {s13} попросил вас натренировать {reg5} рекрутов, чтобы они могли дать отпор местным бандитам.
qstr_The_elder_of_the_villa|Староста деревни из {s3} попросил принести ему {reg5} рогатого скота.
qstr___She_looks_puzzled_|--Она выглядит удивленной и недоумевающей.--
qstr___She_smiles_happy_f|--Она улыбается. Счастлива за твою своевременную оплату.--
qstr_{s16}_and_{s15}|{s16}_и_{s15}
qstr_I_can_smell_a_fat_pu|я унюхал твой набитый кошель за милю отсюда. мне кажется, ты мог бы его немного облегчить, не так ли?
qstr_Why_it_be_another_tr|В, какая удача встретить путешественника на этой дороге! Предупреждаю сразу, земли здесь опасные, но это можешь измениться, {reg59?друг мой:друг мой} если ты этого хочешь. Вужно лишь немного заплатить моим ребятам и я смогу гарантировать безопасную дорогу до места назначния, понятно?
qstr_Well_well_look_at_th|Так так, посмотрите на это! Лучше выдай нам немного серебра, дружок, или мы прирежем тебя.
qstr_There_s_a_toll_for_p|За проезд через эти земли взимается плата, лучше заплати, а если и не заплатишь, мы сами возьмем должное из твоего кошелька...
qstr_Another_fool_come_to|Еще один дурак пришел чтобы убить самого {reg59?себя:себя} от моего оружия, да? Хорошо, да начнется бой!
qstr_We_re_not_afraid_of_|Мы не боимся тебя, {reg59?девка:сударь}. Пора резнести пару черепов!
qstr_That_was_a_mistake._|Это была ошибка. Сейчас ты умрешь, и умирать ты будешь долго и мучительно.
qstr_Brave_words._Let_s_s|Храбрые слова. ѕосмотрим каковы они на деле, сир!
qstr_A_{s5}?_Well..._Yes_|А {s5}? Хорошо... Да, я предполагал это. Странно, что нужно спрашивать.
qstr_Eh?_No_it_most_certa|А? Нет, несомненно, это не {s5}. я не верю своим глазам, что я здесь.
qstr_{s6}_Our_{reg4?town:|{s6} Ваш {reg4?город:деревня} и окружающие земли вам, {reg59?госпожа:лорд}.
qstr_{s6}_Our_{reg4?town:v|{s6} Ваш {reg4?город:деревня} и окружающие земли принадлежат {s7} из {s8}.
qstr_{s3}_и_{s5}|{s3} и {s5}
qstr_{reg20?We_mostly_pro|{reg20?мы в основном производим {s5} здесь:мы не производим много сейчас}. если вы хотите знать больше, вы можете поговорить с нашим {reg4?старостой:старостой}. Он вон там, совсем рядом.
qstr_Mind_your_manners_wi|Придержи свой нрав и у нас не будет проблем.
qstr_Bugger_off_stranger.|Убирайся прочь, незнакомец. Ты не видишь я занят разглядыванием вон той толстой девки?
qstr_Make_sure_to_keep_yo|Держи свои руки на виду, дела торговца тебя не касаются.
qstr_{s9}_told_me_that_I_|{s9} сказал мне что я могу найти ответы в {s3}. я должен спросить у Тонкрика.
qstr_{s9}_told_me_that_I_c|{s9} сказал мне что я могу найти ответы в {s3}. я должен спросить у Тонкрика.
qstr_Retirement_is_starti|Уход в отставку начинает звучать лучше и лучше.
qstr_No_matter!_I_will_pe|Не важно! Я буду продолжать!
qstr_What_did_I_do_to_des|Что я сделал такого, что заслужил это?
qstr_I_suppose_it_ll_make|Думаю, это по крайней мере будет способствовать хорошее дело...
qstr_Player_retreats_from|Игрок отступает с поля боя.
qstr_{s9}_wants_you_to_fo|{s9}хочет чтобы вы следовали его войско до дальнейших указаний.
qstr_You_make_sure_they_s|Убедитесь, что они видят, что их господин, {s11}, в плену у вашей армии.
qstr_The_{reg6?town_s:cas|Продовольственных магазинов {reg6?города:замка} хватит {reg3} на больше дней.
qstr_The_{reg6?town_s:cast|Продовольственные магазины {reg6?города:замка} на мели и сторонники голодают.
qstr_>>Your_men_are_build|>>Ваши люди строят контрольно-пропускные пункты и небольшие лагеря около {s4}, чтобы никто не забрался внутрь или наружу.^^
qstr_>>Your_perimeter_con|>>Ваш периметр управления готов. Вы установили периметр для наблюдения вокруг {s4}. Никто не может войти или выйти без ведома ваших людей. ^ Особенно, это будет выгодно,  когда вы должны вести переговоры о сдаче крепости с ее командиром.
qstr_>>Your_men_are_ready|>>Ваши люди готовы к штурму.^^
qstr_>>As_a_disciplined_a|>>Поскольку Ваша армия обученна, Ваши люди сделали туалеты, трубопроводы, и пруд для еженедельного ванной.Здоровый лагерь предотвращает болезнь.^^
qstr_>>Your_men_have_fini|>>Ваши люди закончили строительство мантелеты. Теперь вы можете использовать их, чтобы защитить своих солдат в час пик атаки и основную силу для окончательного заряда.^^
qstr_>>Your_men_have_finis|>>Ваши люди закончили делать масштабирование оборудования.^^
qstr_>>Your_attempt_to_fi|>>Попытка найти предателя в поселке не удалась.^^
qstr_>>You_have_found_a_t|>>Вы нашли предателя в пределах {s7}, который поддержал ваши усилия, чтобы завоевать его. Это сделает его более восприимчивым к капитуляции.^^
qstr_>>Your_attempt_to_ha|>>Попытка проникновения ваших людей в {s4} не удалась.^^
qstr_>>Your_men_have_succ|>>Ваши люди преуспели в проникновении в {s4} и повреждению врага.^^
qstr_>>You_ve_managed_to_|>>Вам удалось ограбить урожай и фермы неподалеку.^^
qstr_>>You_have_sent_men_|>>Вы послали людей, чтобы найти предателя в {s4}.^^
qstr_>>You_have_found_a_tr|>>Вы нашли предателя в пределах {s4}, который поддержал ваши усилия, чтобы завоевать его. Это сделает его более восприимчивым к капитуляции.^^
qstr_>>Your_men_are_takin|>>Ваши люди забирают урожай и грабят фермы недалеко от {s4} на ваш заказ.Это сделает его более восприимчивым к капитуляции.^^
qstr_>>You_have_sent_men_t|>>Вы послали людей, чтобы проникнуть в{S4}.^^
qstr_>>Your_men_have_succe|>>Ваши люди преуспели в проникновении в {s4} и повреждении врага.^^
qstr_>>Your_camp_smells_h|>>Ваш лагерь пахнет ужасно.Земля грязна, ваши люди испражняются между палатками, и видно как крысы разгуливают то здесь, то там.^^
qstr_>>As_a_disciplined_ar|>>Поскольку Ваша армия обученна, Ваши люди сделали туалеты, трубопроводы, и пруд для еженедельного ванной.Здоровый лагерь предотвращает болезнь.^^
qstr_>>Your_men_are_diggi|>>Ваши люди копают ямы для уборных и принимают другие меры для предотвращения заболевания.^^
qstr_You_need_to_have_more|Вы должны иметь более 250 человек для этой работы.
qstr_You_need_to_have_at_|Вы должны иметь по крайней мере 40 человек для того, чтобы назначить когото из них найти предателя.
qstr_You_need_more_than_3|Вам нужно больше, чем 30 человек, поскольку отправив некоторых из них, сделает ваш лагерь несколько незащищенным.
qstr_You_need_to_have_more_|Вы должны иметь более 10 человек для того, чтобы сделать эту работу.
qstr_You_need_to_have_more_t|Вы должны иметь более 80 человек для того, чтобы сделать это.
qstr_>>The_assault_equipm|>>Оборудование для нападения готово. Войска ждут Ваших приказов.^^
qstr_>>You_look_at_{s4}._|>>Вы смотрите на {s4}. Ваши люди молчат и ждут Ваш приказ к атаке. Ваши мышцы напряжены, в ожидании боя, но ваш разум трезв и адреналин наполняет ваши вены ^ человек дышит глубоко. 'Вы чувствуете этотзапах? ", Спрашивает он," Это аромат славы ». 'Готовы ли вы захватить его? ".^^
qstr_>>The_steel_of_the_w|>>Стальное оружие блестит, знамена колышуться на ветру, и звучит сигнал рога. Мужчины говорят шепотом, многие молиться, снискают себя перед смертью. Впереди есть только две вещи:. Победа или смерть ^ Война ... Война никогда не меняется.^^
qstr_>>Winter_is_the_wors|>>Зима худшее время драться, но и в холодные месяцы вы готовы взять на себя завоевание {s4}. Многие люди думают, что ты сорвиголова, другие сумасшедшим. Но никто не знает, что когда-нибудь вы станете Бритенвальдом.^^
qstr_>>It_s_summer_and_ho|>>Сейчас лето и жарко, может быть, слишком жарко. Но в этот момент, вы ничего не чувствуете. Как всегда, перед битвой, вы выделяете время для неизбежных воспоминаний из прошлого ... Тогда вы закрываете свой разум, готовы к бою, готовы к худшему: стоять перед лицом смерти.^^
qstr_>>You_look_at_{s4}._Y|>>Вы смотрите на {s4}. Ваши люди молчат и ждут Ваш приказ стоять до смерти. Ваши мышцы напряжены, в ожидании боя, но ваш разум трезв и адреналин наполняет ваши вены ^ человек дышит глубоко. 'Вы чувствуете этотзапах? ", Спрашивает он," Это аромат славы ». 'Готовы ли вы захватить его? ".^^
qstr_>>Your_men_have_finish|>>Ваши люди закончили строительство мантелеты. Теперь вы можете использовать их, чтобы защитить своих солдат в час пик атаки и основную силу для окончательного заряда.^^
qstr_>>Your_men_are_buildi|>>Ваши люди строят мантелеты.^^
qstr_>>Your_men_have_finishe|>>Ваши люди закончили строительство лестницы.^^
qstr_>>Your_men_are_buildin|>>Ваши люди строят штурмовые лестницы.^^
qstr_{s4}_lost_between_40|{s4} потеряло от 40 до 50% своих запасов продовольствия.
qstr_{s4}_lost_between_50|{s4} потеряли от 50 до 60% своих запасов продовольствия.
