dialogsfile version 2
5526
dlga_port_chief_travel:close_window|К сожалению, в настоящее время в порту нет пассажирских кораблей.
dlga_merchant_quest_1_prologue_3:merchant_quest_1a|Вот что я вам предлагаю. Похоже, вы умеете обращаться с клинком и, что не менее важно, кошелек ваш совершенно пуст - иначе вы не приехали бы в Британию. Вот что я от вас хочу: соберите небольшой отряд, выследите этих бандитов в их логове, проучите их хорошенько и верните мне моего брата целым и невредимым. А я за это скажу вам спасибо и дам мешочек серебра. Что скажете?
dlga_merchant_quest_1a:merchant_quest_1b|Интересное предложение. 
dlga_merchant_quest_1a:close_window|Мне это неинтересно - у меня есть дела поважнее. 
dlga_merchant_quest_1b:merchant_quest_1c|В одиночку вы с такой задачей не справитесь. Если вы попытаетесь все провернуть самостоятельно, вас поймают, и вы станете не героем, а еще одной жертвой. Так что сперва наберите себе небольшой отряд: в окрестных деревнях непременно есть крепкие парни, которые согласятся подраться - если вы им заплатите. Так... держите-ка 100 динаров. Можете считать это авансом. Пройдитесь по деревням и найдите подходящих людей. Думаю, пятерых вам будет достаточно. 
dlga_merchant_quest_1c:merchant_quest_1d|Понятно. Я сейчас же отправлюсь собирать отряд. 
dlga_merchant_quest_1d:close_window|Вот и славно. Как будете готовы, найдите меня, тогда и поговорим. Я буду здесь, в {s1}, в таверне. 
dlga_start:battle_reason_stated.1|Сдавайтесь или умрите. Выбор за вами.
dlga_battle_reason_stated:close_window|После боя вы будете молить о пощаде.
dlga_start:free|Привет. Чем могу помочь?
dlga_free:view_char_requested|Расскажите мне о себе.
dlga_view_char_requested:view_char|Отлично, послушайте вот что...
dlga_view_char:free|Что-нибудь еще?
dlga_end:close_window|[Готово]
dlga_start:threaten_1|Бросайте оружие и сдавайтесь, если хотите остаться в живых.
dlga_threaten_1:end|Сначала мы попытаемся с вами сразиться.
dlga_member_direct_campaign:member_direct_campaign_choice|Да, {сударь/сударыня}. Какое послание вы хотите отправить вассалам?
dlga_member_direct_campaign_choice:member_direct_campaign_call_to_arms_verify|Я хочу начать новую кампанию. Давайте соберем здесь армию.
dlga_member_direct_campaign_choice:member_give_order_disband_army_verify|Я хочу завершить эту кампанию и распустить всех по домам.
dlga_member_direct_campaign_choice:member_give_order_invite_feast_verify|Я хотел бы пригласить наших вассалов на праздник в {s4}.
dlga_member_direct_campaign_choice:member_pretalk|Ничего
dlga_member_give_order_invite_feast_verify:member_give_order_invite_feast_verify_2|Вы хотите пригласить вассалов на праздник?
dlga_member_give_order_invite_feast_verify_2:member_give_order_invite_feast|Да. Настало время укрепить узы, которые объединяют нас.
dlga_member_give_order_invite_feast_verify_2:member_pretalk|Нет, сейчас не время.
dlga_member_give_order_invite_feast:member_pretalk|Вот и ладушки. Я пошлю гонцов с приглашениями на праздник в {s4} к нашим лордам.
dlga_member_direct_campaign_call_to_arms_verify:member_give_order_call_to_arms_verify_2|Вы хотите собрать всех лордов для новой кампании?
dlga_member_give_order_call_to_arms_verify_2:member_give_order_call_to_arms|Да, надо собрать все наши силы, прежде чем мы выступим на врага.
dlga_member_give_order_call_to_arms_verify_2:member_pretalk|Думаю, все-таки нет необходимости призывать всех и каждого.
dlga_member_give_order_call_to_arms:member_pretalk|Ладно. Я разошлю гонцов с приказом каждому прибыть сюда.
dlga_member_give_order_disband_army_verify:member_give_order_disband_army_2|Вы хотите закончить текущую кампанию и отпустить со службы всех вассалов?
dlga_member_give_order_disband_army_2:member_give_order_disband_army|Да. Все силы здесь нам больше не требуются.
dlga_member_give_order_disband_army_2:member_pretalk|Думаю, лучше пока держаться вместе.
dlga_member_give_order_disband_army:member_pretalk|Хорошо. Я дам всем знать, что они могут быть свободны.
dlga_mayor_wealth_comparison_1:mayor_wealth_comparison_2|В целом, как известно, самый богатый город Британии {s4}.Здесь в {s5}, мы беднее чем {reg4} городов в сумме, и богаче чем {reg5} городов.
dlga_mayor_wealth_comparison_2:mayor_wealth_comparison_3|Что касается местной промышленности, как известно самый продуктивный город Британии {s4}. Здесь, в {s5}, мы производим меньше чем в {reg4} городах, и больше чем в {reg5} городах.
dlga_mayor_wealth_comparison_3:mayor_wealth_comparison_4|С точки зрения окрестных деревень, город {s4} является самым богатым в Британии. Здесь, в {s5}, деревни производят меньше, чем внутренние районы в {reg4}, и производит больше, чем {reg5}. Богатство города, конечно, сильно зависит от военных действий. Грабежи и мародерство, и изменения в территории, могут внести серьезные последствия.
dlga_mayor_wealth_comparison_4:mayor_wealth_comparison_5|Насчет торговли. Город {s4} - самый часто посещаемый караванами в течении нескольких последних месяцев. Нас в {s5} караваны посещают реже чем в {reg4} городах и чаще чем в {reg5} других.
dlga_mayor_wealth_comparison_5:mayor_pretalk|Что касается нападения на путешественников, город {s4}, считается наиболее опасным. Здесь, в {s5}, мы в меньшей степени страдаем от бандитов и рейдеров, чем {reg4} городов, и больше страдаем чем в остальных {reg5}.
dlga_free:close_window| До свидания.
dlga_free:close_window.1| [Уйти]
dlga_start:frisianship_merchant_1|Топор мне в спину, {playername}.У вас все хорошо? Вы ворочались во сне и несли ахинею. Мои матросы подумали, что вас мучили духи.
dlga_frisianship_merchant_1:frisianship_merchant_2|Где я? Что это за место? 
dlga_frisianship_merchant_2:frisianship_merchant_3|ч..., это плохо. Вы ничего не помните? Меня зовут Аво, Леоф. Я капитан этого корабля, Одинокий Рик. Вы поднялись к нам на борт в Фризии несколько недель назад, заплатив хорошо сумму.
dlga_frisianship_merchant_3:frisianship_merchant_4a|Да, да, я вспомнил.
dlga_frisianship_merchant_3:frisianship_merchant_4b|Память возвращается ко мне, но, возможно, вы сможете напомнить мне, почему я здесь?
dlga_frisianship_merchant_4a:frisianship_merchant_5|Ну, не волнуйтесь, все эти вещи случаются с каждым.
dlga_frisianship_merchant_4b:frisianship_merchant_5|Теперь я действительно начинаю беспокоиться о тебе друг мой. Я не знаю подробностей, но точно знаю, что вы волнуетесь из-за матери. Она больна, и вы везете ее к священнику владеюшим даром исцеления в фризский порт, куда мы и направляемся.
dlga_frisianship_merchant_5:frisianship_merchant_6|Спасибо! Тучи закрыли небо. И разве мы не должны плыть на всех парусах?Судно не движется! Что происходит? Почему мы остановились?
dlga_start:close_window.83|Можем мы поговорим позже, {reg59?сударыня:сударь}? Мне нужно, отдать приказ своим людям.
dlga_start:frisianship_merchant_talk|Великолепный день. Мы готовы выступить. Как на счет вас?
dlga_frisianship_merchant_talk:frisianship_merchant_1x|Я готов. Давайте продолжим наше путешествие.
dlga_frisianship_merchant_talk:close_window|Нет, мне нужно кое-что сделать, прежде чем мы отправимся в путь.
dlga_frisianship_merchant_1x:frisianship_merchant_2x|{s2}^^Мы путешествуем вместе достаточно долго. Хотите встать за штурвал? Она очень проворна для торгового судна.
dlga_frisianship_merchant_2x:close_window|Конечно, а я все думал, когда же вы спросите! 
dlga_frisianship_merchant_2x:close_window.1|Нет. Поверьте мне, я стану, за штурвал только в крайнем случае!
dlga_frisianship_merchant_6:frisianship_merchant_7|Мы обнаружили обломки, наполовину затопленных кораблей. Похоже, совсем недавео тут был бой. Мои люди проверяют обломки и ищут выживших. Бедные, у них не было шансов против длинных кораблей викингов . Мы скоро уже будем на месте, хотя.
dlga_frisianship_merchant_7:frisianship_merchant_8|Нужно поспешить! Те, кто затопил эти корабли могут быть поблизости. 
dlga_frisianship_merchant_7:close_window|Ну, можно заняться делом! Я думаю, что пойду помогу остальным.
dlga_frisianship_merchant_8:frisianship_merchant_9|{s2}^^Расслабьтесь, {reg59?приятель:приятель}. Ваш друг, Бодо, сейчас на вахту. Я сомневаюсь, что он чего-то упистит! 
dlga_frisianship_merchant_9:frisianship_merchant_10|Бодо? Да. Теперь, я еще больше обеспокоит.
dlga_frisianship_merchant_9:frisianship_merchant_11|Я очень надеюсь, что вы понимаете, что делаете.
dlga_frisianship_merchant_10:close_window|{s2}^^Если бы вы были на одном из этих кораблей, я думаю, вы бы хотители, чтобы мы остановились, не так ли? Это морское закон - особенно в этих морях.
dlga_frisianship_merchant_11:close_window|Будьте уверены, я сделаю все что нужно,{reg59?сударыня:сударь}. Теперь позвольте мне, помочь остальным, иначе мы задержимся, здесь на долго.
dlga_start:frisianship_mer_1|Одинокий Рик, в беде!
dlga_frisianship_mer_1:frisianship_mer_2|Что случилось?
dlga_frisianship_mer_2:frisianship_mer_3|Чщщщщ! Тише. Слушай, мы в опасности. Когда мы наблюдали за вашим боем, то заметили приблежение двух кораблей. Я вижу их знамя. Это Свен Бычья-Шея. Ах, черт возьми! Молитесь богами чтобы они пощадили нас. Черт, молитесь кому угодно хоть черту! Главное что бы они не поймали нас.
dlga_frisianship_mer_3:frisianship_mer_4c|Я знал, что это случится! Мы не должны были остановливаться.
dlga_frisianship_mer_3:frisianship_mer_4b|Успокойтесь! Скажите мне: кто этот Свен?
dlga_frisianship_mer_3:frisianship_mer_4c.1|Это ужасная новость! Что мы будем делать?
dlga_frisianship_mer_4b:frisianship_mer_4c|Вы не слышали о нем? Свен Викинг. Хуже того, Викинг в квадрате а то и в кубе. Он сжигает деревни, топит корабли и порабощает или убивает всех кого встретит. Но самое худшее, он приносит одного из них в жертву своим богам. Слышал о Блодорне, Кровавом-Орле? Вы же не хотите узнать, что это значит. Тогда молчите.
dlga_frisianship_mer_4c:frisianship_mer_5|{s2}^^Надеюсь, что они проплывут мимо. Если мы останемся здесь, они подумают, что наш корабль всего лишь обломки. Это наша единственная надежда.
dlga_frisianship_mer_5:frisianship_mer_6|Что? Мы можеи скрыться в тумане. Одинокий Рик, люди, это наш шанс что бы спасти всех! 
dlga_frisianship_mer_5:frisianship_mer_6.1|Пожалуйста, успокойся, друг мой. Мы не должны сделать неверный шаг!
dlga_esposabarco_13:esposabarco_14|Но ... Отец мертв.
dlga_esposabarco_13:close_window|Мам, мы возвращаемся домой. Я люблю тебя.
dlga_esposabarco_14:esposabarco_15|{s2}^^Но ... Но ... Мы не на экскурсии, не так-ли? У меня болит голова, и я не помню, где наш дом! Я знаю, кто ты, но я не помню твоего имя. Я схожу с ума?
dlga_start:blocked_agent|Этот человек, кажется, занят. Может быть, я не должен его бесппокоить...
dlga_blocked_agent:close_window|Мне жаль.Я не хотел тебя беспокоить.
dlga_blocked_agent:close_window.1|Уйти.
dlga_start:close_window.1|Вы должны пойти вниз к своей матери она даст вам то что не сможет использовать на своем пути в Валгаллу.
dlga_start:close_window.2|Я ищу кого-то, кто идет с девушкой. Вы их видели?  
dlga_start:close_window.3|О {playername}.Тонкрик сказал мне, что ты придешь сюда. Тащите ее на корабль. Мои люди и я покажу вам, как легко она плавает.
dlga_start:port_chief_travel|Хейл! Вы хотите поехать в другой город?
dlga_start:close_window.4|Пожалуйста, подождите всех, чтобы сесть на корабль.
dlga_start:port_chief2|{s1}
dlga_port_chief2:port_chief3|Что тебе нужно?
dlga_port_chief3:port_chief_fleet1|Привет. Я пришел, чтобы присоединиться к флоту Свена Бычьей Шее и Харальд Харальдссоном, которые будут путешествовать в Англию
dlga_port_chief3:port_chief_bodoletter1|Человек по имени Атли Эрикссон покинул этот порт некоторое время назад. Знаете ли вы, где он находиться==? 
dlga_port_chief3:port_chief_pieles|Держите ваши шкуры, теперь ваша очередь. Где Атли Эрикссон? 
dlga_port_chief3:port_chief_catach|Я был в Глен да Лохе и взял  The_Cathach_of_Colum_Cille'.
dlga_port_chief3:port_chief_catach32|К сожалению, Глен да Лох слишком далеко. Вы бы взяли деньги вместо этого? 
dlga_port_chief3:port_chief_svenlair|Вы знаете, что я хочу. Где убежище Свена Бычьей Шеи?
dlga_port_chief3:port_chief_buy_ship|Я хочу купить корабль
dlga_port_chief_buy_ship:close_window|Следуй За Мной!
dlga_port_chief3:port_chief_info_main|У меня есть несколько вопросов о судах и морских путешествиях. 
dlga_port_chief_info_main:port_chief_info_main_1|что вы хотите узнать?
dlga_port_chief_info_main_1:port_chief_info_a_1|Зачем люди уходят в море?
dlga_port_chief_info_main_1:port_chief_info_b_1|Как мне найти свой путь в море?
dlga_port_chief_info_main_1:port_chief_info_c_1|Что мне нужно знать, если я хочу купить корабль?
dlga_port_chief_info_main_1:port_chief_info_d_1|Что делает корабль быстрым?
dlga_port_chief_info_main_1:port_chief2|Это все, что я хотел знать. Спасибо!
dlga_port_chief_info_a_1:port_chief_info_main|Вы можете заработать много денег, если вы торгуете товарами или рабами, через море. Другие используют его для рейдов поселений. Наконец, ни один Викинг не будет уважать Вас как лидера, если вы не имеете хорошего корабля.
dlga_port_chief_info_b_1:port_chief_info_main|Отдыхайте ночью и путешествуйте днем, так как днем лучше видно море чем ночью.
dlga_port_chief_info_c_1:port_chief_info_c_2|Прежде всего, необходимо знать, какой тип корабля вы хотите. Если вы хотите торговать, то Knorr может быть хорошим выбором. У них много места для груза, но они не очень быстры. Snekkja, Skei и Буссе быстрые корабли и способны нести большое количество войск. Karvi что-то среднее. Если у вас есть только несколько человек, то маленький корабль, как Byrding  возможно, подойдет вам лучше.
dlga_port_chief_info_c_2:port_chief_info_main|Вторым важным фактором является тип древесины. Корабли, сделанные из древесины дуба являются лучшими, но и дорогими. Бук дешевле, но он гниет быстрее.
dlga_port_chief_info_d_1:port_chief_info_main|Ветер! Но вы также должны держать ваши паруса в хорошем состоянии, так они могут поймать ветер лучше. Если нет ветра вообще, то ваша команда может грести. Другие гребцы сделают корабль быстрее. Если у вас есть более одного корабля в флоте, то ваш флот будет так быстр, как скорость самого медленного корабля во флоте. Специальный Навигатор также пригодиться и сделает ваш флот быстрее.
dlga_port_chief3:port_chief_travel|Я хочу поехать в другой порт.
dlga_port_chief_travel:port_chief_travel_2|Отсюда, можно путешествовать в порты Фризе, Дании, Норвегии и Англии. Куда вы хотите пойти? 
dlga_port_chief_travel:port_chief_travel_2.1|Отсюда, можно путешествовать в порты Englaland и Ирландию. Куда вы хотите пойти?
dlga_port_chief_travel_2:port_chief_travel_3|{s1}
dlga_port_chief_travel_2:close_window|Я передумал.
dlga_port_chief_travel_3:port_chief_travel_4|Вы хотите поехать в {s1}? {s2}
dlga_port_chief_travel_4:port_chief_travel_5|Давайте начнем! 
dlga_port_chief_travel_4:port_chief2|{s1} 
dlga_port_chief_travel_4:close_window|{s1}
dlga_port_chief_travel_5:close_window|Следуй за мной!
dlga_port_chief3:port_chief_pick_up_ship1|Мой корабль уже готов?
dlga_port_chief_pick_up_ship1:port_chief2|Мои люди и я все еще работаю над этим. Вернись через {reg1} дней.
dlga_port_chief_pick_up_ship1:port_chief_pick_up_ship2|Корабль готов! Вы хотите, чтобы мы спустили его на воду?
dlga_port_chief_pick_up_ship2:port_chief_pick_up_ship3|Да!
dlga_port_chief_pick_up_ship2:port_chief2|Нет, подождите пока.
dlga_port_chief_pick_up_ship3:port_chief2|К сожалению, ваше умение не достаточно высоко, чтобы добавить дополнительный корабль к вашему текущему флоту в этом порту.
dlga_port_chief_pick_up_ship3:close_window|Ну, посмотрите на него и дайте ему имя ПОБЕДА !!!.
dlga_port_chief_pick_up_ship3:port_chief2.1|Не хватает места в порту, у вас есть уже другой корабль
dlga_port_chief3:port_chief_build_ship_main|Я хочу, чтобы вы построили мне корабль.
dlga_port_chief_build_ship_main:port_chief_build_ship_main_1|Какой корабль вы хотите построить? 
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2|Я хочу маленький Byrding. 
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.1|Я хочу Knorr чтобы торговать.
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.2|Хорошая атака у Snekkja!
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.3|Я заинтересован в двойном размере корабля.Skeid, пожалуйста.
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.4|У меня есть много воинов. Можно ли построить Буссе для меня? 
dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.5|Мне нужна хорошая защита корабля. Я хочу Karvi.
dlga_port_chief_build_ship_main_1:port_chief2|передумал.
dlga_port_chief_build_ship_main_2:port_chief_build_ship_main|Извените ксожалению я не достаточно квалифицирован.Только норвежский способен построить {s11}. 
dlga_port_chief_build_ship_main_2:port_chief_info_main_3|Какое дерево вы хотели бы использовать?  43  0 NO_VOICEOVER 
dlga_port_chief_info_main_3:port_chief_build_ship_main_4|Дуб. Я хочу качество.
dlga_port_chief_info_main_3:port_chief_build_ship_main_4.1|Сосна будет в нормально.
dlga_port_chief_info_main_3:port_chief_build_ship_main_4.2|Я не хочу тратить много денег. Давай с ясеня.  
dlga_port_chief_info_main_3:port_chief2|Я передумал.
dlga_port_chief_build_ship_main_4:port_chief_build_ship_main_5|Чтобы построить {s11} из {s12} дерева я прошу {reg11} шилинги для моей работы. {s2} Это займет {reg12} дней, чтобы построить этот корабль.
dlga_port_chief_build_ship_main_5:port_chief_build_ship_main_6|Постройте наконец этот корабль для меня! 
dlga_port_chief_build_ship_main_5:port_chief_build_ship_main_6.1|{!}Cheat: Моментальная постройка 
dlga_port_chief_build_ship_main_5:port_chief_build_ship_missing_1|Хмм, похож на купца? У меня нет этих вещей с собой.
dlga_port_chief_build_ship_missing_1:port_chief2|Извините, но я не могу закончить свой корабль без этих материалов. Купите их и принесите мне. 
dlga_port_chief_build_ship_main_5:port_chief_build_ship_missing_2|У меня нет столько денег.
dlga_port_chief_build_ship_missing_2:port_chief2|Извините, но мне нужно кормить свою семью и платить рабочим. Когда вы заработаете деньги вернутесь ко мне.
dlga_port_chief_build_ship_main_5:port_chief_build_ship_missing_3|Я это запомню, и вернусь позже.
dlga_port_chief_build_ship_missing_3:port_chief2|Торопитесь. Но, поверьте мне, мои корабли стоят каждый шиллинг.
dlga_port_chief_build_ship_main_6:port_chief2|Очень хорошо! Вернись через {reg12} дней.
dlga_port_chief3:close_window|Я вижу.До свидания! 
dlga_port_chief_fleet1:port_chief_fleet2|{s2}^^Привет {playername}.Я вижу, вы сделали себе имя на этой земле. Это делает меня счастливым, думаю что мой бизнес вам помог в этом. Я заслуживаю одну или две строки в любой саге о вас!Флот Свена и Харальда через залив. Он насчитывает пятьдесят лодок, многие из них военные корабли, на общую сумму свыше 800 человек. Вы закончили ваши дела в Дании? Готовы ли вы уйти? Я гарантирую, вы не скоро вернетесь! 
dlga_port_chief_fleet2:the_fleetmt1|Да, давайте начнем. Давайте на борт своих людей. 
dlga_the_fleetmt1:close_window|Ну, удачи Vinr. Хотя вы можете увидеть много лодок здесь, большая часть флота на якоре по течению в заливе, за пределами города. Присоединяйтесь к ним, как только вы почувствуете, что готовы! Да прибудет с нами... 
dlga_port_chief_fleet2:port_chief2|Нет, мне нужно закончить некоторые дела. Я вернусь,обещаю.
dlga_port_chief_catach:port_chief_catach2|{s2}^^Ну, дайте мне книгу, и я скажу вам, о чем вы спросили.  
dlga_port_chief_catach2:port_chief_catach31|Вот, возьми это. Теперь в укрытие Свена?
dlga_port_chief_catach2:port_chief_catach32|К сожалению, я потерял книгу. Вы бы взяли деньги вместо этого?
dlga_port_chief_catach32:port_chief_catach4|Мой клиент не будет счастливым, и люди будут знать, что вы не надежны. Мой клиент уже заплатил мне 10 000 шиллингов за книги. Есть ли у вас такие деньги?
dlga_port_chief_catach4:port_chief_catach5|У меня есть деньги. Вот, возьмите, и скажите мне, где Свен! 
dlga_port_chief_catach4:port_chief2|К сожалению, нет. Я вернусь, как только они у меня появяться.
dlga_port_chief_catach5:port_chief_catach5_1|мой, ты богатый человек!Убежище здесь, в Дании, северо-Рибе, вверх по реке. Далеко Чт Новичок. 
dlga_port_chief_catach5_1:port_chief2|Спасибо.
dlga_port_chief_catach31:port_chief_catach31_1|Хорошо, спасибо.Убежище здесь, в Дании, северо-Рибе, вверх по реке. Далеко Чт Новичок.
dlga_port_chief_catach31_1:port_chief2|Спасибо.
dlga_port_chief_svenlair:port_chief_svenlair2|{s2}^^Почему так громко, друг? Никто в порту не должен знать, что мы говорим. Я вижу, кто-то сказал вам обо мне. Хорошо это говорит мне что предприятие процветает.^^Ну, вы хотите знать его расположение. Это не трудно узнать, но это имеет свою цену, конечно, и не дешевую. Бычья Шея Свен опасный человек.
dlga_port_chief_svenlair2:port_chief_svenlair3|{s2}^^Слушайте внимательно. К счастью, мне нужно кото-то вроде вас. Мне нужно, чтобы стать, хм, "рейдерская" из рода, и перейти к Ирландскому. У меня есть клиент, который хочет книгу держать в монастыре, как реликвию.Монастырь называется Gleann Da... .Название книги "Cathach из Colum Cille. Я действительно заинтересован только в книге. Все остальное вы берете на себя. Принесите мне эту книгу, и вы будете знать, где Свен Бычья Шея скрывается..
dlga_port_chief_svenlair3:port_chief_svenlair31|Звучит неплохо! Я принесу вам книгу. Скоро увидимся.
dlga_port_chief_svenlair3:port_chief_svenlair32|Я ни граблю монастыри, и не убиваю монахов.
dlga_port_chief_svenlair3:port_chief_svenlair33|Я предпочитаю забыть о книге и предлагают деньги за информацию. 
dlga_port_chief_svenlair31:close_window|Ну, я буду здесь. Я предлагаю вам ремонт и охрану вашему кораблю.Поездка в Ирландию долгая. И приведи достаточно людей для войны достаточно, Эриу стал довольно хорош в этом. Далеко Чт Новичок.
dlga_conversation_companioncamp:dwyweiromance_conversationcamp1|{playername}, вы видели меня как я сражался из-за всех сил, все мое тело в шрамаш, я уничтожу наших врагов ...
dlga_dwyweiromance_conversationcamp1:dwyweiromance_conversationcamp3|Вы знаете, я застенчивый человек, не так ли?
dlga_dwyweiromance_conversationcamp3:dwyweiromance_conversationcamp4|Я не знаю.
dlga_dwyweiromance_conversationcamp3:dwyweiromance_conversationcamp|Да, я знаю.
dlga_dwyweiromance_conversationcamp3:close_window|У меня нет времени, чтобы выслушать вас. Мы поговорим позже.
dlga_dwyweiromance_conversationcamp4:close_window|О, конечно. Ну, хорошо, я ... мы поговорим в другой день ...
dlga_dwyweiromance_conversationcamp4_2:close_window|Что я имел в виду, я хочу, чтобы вы знали, что я восхищаюсь и высоко ценю вас. Но, я не хочу, говорит об этом в данный момен. Это так неловко. Мы поговорим в другой день.
dlga_conversation_companioncamp:dwyweiromance2_conversationcamp1|Мне нужно поговорить с вами, {playername}.Это очень серьезная проблема для меня, но я ее больше не затрону.
dlga_dwyweiromance2_conversationcamp1:dwyweiromance2_conversationcamp3|Знаете вы мне интерессны, я ценю вас и вы мне нравитесь. Я надеюсь что вы чуствуете тоже самое и ко мне, но я не уверен. Могло бы это ...?
dlga_dwyweiromance2_conversationcamp3:dwyweiromance2_conversationcamp4|Да, Двивэй, Вы мне тоже нраветесь.
dlga_dwyweiromance2_conversationcamp3:dwyweiromance2_conversationcamp4_2|Извените, но вы мне не интерессны.
dlga_dwyweiromance2_conversationcamp4:dwyweiromance2_conversationcamp5|Я рад что вы мне это сказалиt! Я думаю что это значит что мы теперь вместе, не так-ли?
dlga_dwyweiromance2_conversationcamp4_2:close_window|Простите, извкните, Мне так неловко. Я думал... Но я ошибся. Извените, Я больше вас не побеспокою, У меня есть дела..
dlga_dwyweiromance2_conversationcamp5:dwyweiromance2_conversationcamp6|Да, Двивэй, вы теперь моя жена.
dlga_dwyweiromance2_conversationcamp5:dwyweiromance2_conversationcamp7|Нет. Это была шутка, Вы мне не интерессны в конце коцов.
dlga_dwyweiromance2_conversationcamp6:close_window|Я так рад, Я люблю вас. Я отнесу свои вещи в вашу полатку!
dlga_dwyweiromance2_conversationcamp7:close_window|Шутка? Ты ублюдок!!! Какой же вы мудак что разбрасываетесь такими вещями? Пошли вон. И не возвращайтесь.
dlga_conversation_companioncamp:caio_conversationcamp1|В вашей армии, Я побывал в разных местах и повстречал многих лбдей. Я не думал что мир так велик!
dlga_caio_conversationcamp1:caio_conversationcamp2|Честно говоря, я и моя семья жили в пещере все это время, только ездили в деревню, чтобы продать товары. После того, как я посетил Бэбанбур, я подумал, что это было самым большим и самым прекрасным местом, но это было ничто по сравнению с тем, где я побывал вместе с вами.
dlga_caio_conversationcamp2:caio_conversationcamp3|А есть еще много других мест для посещения.
dlga_caio_conversationcamp2:caio_conversationcamp4|Почему вы пристали ко мне с этим?
dlga_caio_conversationcamp3:close_window|Я уверен, что есть еще много мест для посещения. Я могу только сказать, что вместе с вами я провел лучшее решение в моей жизни. Я никогда не вернусь в пещеру моих родителей.
dlga_caio_conversationcamp4:close_window|Ах, извините, извините. Я понимаю, что для кого-то вроде вас, это очень бонально, но для меня это важно. Я не буду вас больше беспокоить. Прощайте.
dlga_conversation_companioncamp:brunhild_conversationcamp1|Иногда, когда я сплю, я мечтаю о моей прошлой жизни в Доккинга и Кенеммер. Эти кошмары, которые напоминают мне о моем времени когда я был рабом.
dlga_brunhild_conversationcamp1:brunhild_conversationcamp2|Я рад, что все, это осталось позади. На самом деле, я ненавижу Фризию, о ней у меня только плохие воспоминания. Когда мы будем проезжать по Фризии во время наших путишествий, я прошу у вас не сердиться на меня. Мне приходиться проводить большую часть времени в моей палатке, так как во вркмя этих поездок я не желаю нескем разговаривать.
dlga_brunhild_conversationcamp2:close_window|Теперь, простите меня, но разговоры об этом расстраивают меня. Я думаю, что все эти последние воспоминания делают меня депрессивным, я, возможно, никогда не стану самим собой.
dlga_conversation_companioncamp:bodo_conversationcamp1|--Вы обратили внимание, что он какойто нервный.--^^Привет {playername}. Мы путешествовали вместе некоторое время, и наша дружба, по крайней мере для меня искренне. Но наа самом деле, я не доверял никому, в течении всего этого времени.
dlga_bodo_conversationcamp1:bodo_conversationcamp2|На самом деле, я удивлен, что наши отношения так хороши. Моя жизнь не была легкой, особенно здесь, на севере, и мне трудно доверять людям, но вы завоевали мое доверие так быстро, что это пугает меня.
dlga_bodo_conversationcamp2:bodo_conversationcamp3|{орошо, чтобы доверять другим, Бодо.
dlga_bodo_conversationcamp2:bodo_conversationcamp3_2|Со мной случилось также.
dlga_bodo_conversationcamp2:bodo_conversationcamp4|Держи дистанцию. Ты просто солдат для меня.
dlga_bodo_conversationcamp3:close_window|Да, вы правы. Я должен доверять себе больше. Дружба это нормально, в ней нет ничего опасного. Благодарю мой друг!
dlga_bodo_conversationcamp3_2:close_window|Вы это тоже чувствуете? Правда? У нас всегда было сомнение, слишком долго мы жили во лжи и опасности. Я подумаю об этом! Спасибо за ваше время.
dlga_bodo_conversationcamp4:close_window|Да, извините. Я был смущен, но вы, освободили его для меня.
dlga_start:bodo_prisoner_sl|Привет {playername}. Рад видеть, что вы живы. Я думал, вы были убиты, когда Свен Бычья-Шея напал на нас. Мне не так повезло, как вы можете видеть.
dlga_bodo_prisoner_sl:bodo_prisoner_s2|Бодо! Что? Где моя мать? А кто эти женщины?
dlga_bodo_prisoner_sl:close_window|Позвольте мне вас увести отсюда, друг мой, и тогда мы поговорим.
dlga_bodo_prisoner_s2:close_window|Мы не можем говорить здесь; Тут у стен есть уши. Вытащи меня отсюда, и я расскажу все что знаю.
dlga_start:close_window.80|Пожалуйста, любезный {reg59?сударыня:сударь}, помогите нам. Я не хочю быть рабом до конца жизни.
dlga_start:bodo_merchant_1|Прекрасный день, {playername}. Я рад видеть что вы в хорошей форме. Вы заставили нас испугаться, говоря во сне. Ненавижу такие сны как ваш меня они пугают...
dlga_bodo_merchant_1:bodo_merchant_2|Я в порядке, спасибо. Никто не должен об этом беспокоиться.
dlga_bodo_merchant_1:bodo_merchant_21|Ну, я не могу понять, как мои дела, могут затронуть остальных!
dlga_bodo_merchant_2:bodo_merchant_3|Возможно, нет. Во всяком случае, я рад видеть вас на ногах.
dlga_bodo_merchant_21:bodo_merchant_3|Нет необходимости злиться! Я просто говорю как другу. Я просто рад что у вас все впорядке.
dlga_bodo_merchant_3:bodo_merchant_4a|Напомнить мне, кто вы. Честно говоря, мой разум все еще в тумане.
dlga_bodo_merchant_3:close_window|Спасибо! Теперь я пойиду, помогу проверить эти корабли.. Увидемся.
