str_no_string|NO STRING!
str_comment_intro_female_admiring_goodnatured|Моя леди, если Вы так же квалифицированы в руках, как Вы справедливы в самообладании, тогда Ваши враги, должны действительно бояться Вас!
str_comment_intro_female_admiring_upstanding|Привет, моя леди. Даже с пылью на вашем снаряжении, я вижу, что Вам не недостает грации Вашего благородного пола.
str_comment_intro_female_common_liege|Это редкость, встретить женщину, которая стремится вести людей в бой. Но это темные и смутные времена, и у меня, например, не отвернутся руки, которые могут взять рукоятка меча, если их владелец храбрый и преданный.
str_comment_intro_female_common_martial|Я должен сказать, моя леди - Будьте осторожны, верховая езда опасна на этой земле. Если вы когда нибудь захотите найти более... ЭМ... оседлой жизни, я уверен, что я мог бы найти вам достойного мужа среди моих людей.
str_comment_intro_female_common_badtempered|Кстати, девушка - Ваш муж знает, что вы порезали его оружие и броню? Держу пари, что Вы ждете правильного старого избиения, когда Вы возвращаетесь домой!
str_comment_intro_female_common_pitiless|Тяжелые нынче времена, если даже женщины обращаются разбойника, чтобы забрать объедки из-под обломков войны.
str_comment_intro_female_common_cunning|Это не неслыханно для женщины, искать счастье на полях битвы Британии, но, и при этом это не обычно. Я буду больше интересоваться Вашими успехами.
str_comment_intro_female_common_sadistic|Женщина, в военном снаряжении! Ну, я предполагаю, что Вы не более женственные, чем большинство из тех в моем войске, кто называет себя воинами.
str_comment_intro_female_common_goodnatured|По вашему взгляду, я понял, что вы сможете справиться самостоятельно, но будьте осторожны там, миледи.
str_comment_intro_female_common_upstanding|Не каждый день, мы видим женщину в военном снаряжении. Пожалуйста, не принимайте это близко к сердцу, миледи, у вас есть полное право защищать себя, но я не могу быть полностью довольным Вашим решением сражаться. Я предпочел бы, чтобы женщины были нетронутыми этими войнами, поскольку я полагаю, что женщина хранительница аристократизма и нежности.
str_rejoinder_intro_female_common_badtempered|Я выиграл свое оружие в бою. Не могли бы вы проверить его преимущество?
str_rejoinder_intro_female_noble_sadistic|Не берите в голову мою страну. Здесь, в Британии, кажется, собаки ведут людей к войне.
str_rejoinder_intro_female_common_sadistic|И Вы, сэр, не болше скот, чем моя лошадь.
str_rejoinder_intro_female_noble_pitiless|Я бы восстановил естественный порядок, так что бы вы больше не говорили от своей задницы.
str_rejoinder_intro_female_common_pitiless|Действительно, падшие времена, когда разбойники называют себя «Лордами».
str_rejoinder_intro_noble_sadistic|Возможно, сейчас я возьму ваше знамя. И вашу провизию. И вашу жизнь.
str_rejoinder_intro_female_pitiless_admiring|Я был бы рад попортить ваш красивый нос, сэр.
str_rejoinder_intro_female_common_upstanding|Хотите почувствовать нежность моей стали?
str_rejoinder_intro_female_noble_upstanding|Хотите почувствовать нежность моей стали?
str_rejoinder_intro_female_common_martial|Я мог бы найти более достойных мужей, чем те, в питомнике.
str_rejoinder_intro_female_sadistic_admiring|Вы могли бы добавить нотку человечности к конской сбруи, но хватит лишь прикосновения.
str_rejoinder_intro_female_badtempered_admiring|Вы обеспокоились, увидев меня, я бы с удовольствием вырвал ваши глаза.
str_comment_you_raided_my_village_enemy_benevolent|Вы напали на невинных крестьян, находящихся под моей защитой в деревне {s51}. Я накажу вас за ваши проступки!
str_comment_you_raided_my_village_enemy_spiteful|Вы напали на мою деревню {s51}, уничтожили свою собственность и убили моих подданых. Я возьму свое компенсацию в крови!
str_comment_you_raided_my_village_enemy_coldblooded|Вы напали на мою деревню {s51}, уничтожили мою собственность и убили моих подданых. Я заставлю вас дважды подумать, прежде чем нарушить мои доходы снова!
str_comment_you_raided_my_village_enemy|You have raided my village of {s51}, destroying my property and killing tenants under my protection. You will pay the price for your crime!
str_comment_you_raided_my_village_unfriendly_spiteful|You have raided my village of {s51}. Do it again and I'll gut you like a fish!
str_comment_you_raided_my_village_friendly|You have raided my village of {s51}. This will place a grave strain on our friendship.
str_comment_you_raided_my_village_default|You have raided my village of {s51}. If you continue to behave this way, we may soon come to blows.
str_comment_you_stole_cattles_from_my_village_enemy_benevolent|I have heard that you have stolen cattle from innocent farmers under my protection in the village of {s51}. I will punish you for your misdeeds!
str_comment_you_stole_cattles_from_my_village_enemy_spiteful|I have heard that you have stolen cattle from my villagers living at {s51}, stoling my villager's property. You will pay results of this dishonorable act!
str_comment_you_stole_cattles_from_my_village_enemy_coldblooded|I have heard that you have stolen cattle from my villagers living at {s51}, stoling my villager's property. I will make you think twice before you disrupt my revenues like that again.
str_comment_you_stole_cattles_from_my_village_enemy|I have heard that you have stolen cattle from my villagers living at {s51}, stoling my villager's property. You will pay results of this dishonorable act!
str_comment_you_stole_cattles_from_my_village_unfriendly_spiteful|I have heard that you have stolen cattle from my villagers living at {s51}. Do it again and I'll gut you like a fish.
str_comment_you_stole_cattles_from_my_village_friendly|I have heard that you have stolen cattle from my villagers living at {s51}. This will place a grave strain on our friendship.
str_comment_you_stole_cattles_from_my_village_default|I have heard that you have stolen cattle from my villagers living at {s51}. If you continue to behave this way, we may soon come to blows.
str_comment_you_robbed_my_village_enemy_coldblooded|You have robbed my tenants in the village of {s51}. I take that as a personal insult.
str_comment_you_robbed_my_village_enemy|You have robbed innocent farmers under my protection in the village of {s51}.  I will punish you for your misdeeds!
str_comment_you_robbed_my_village_friendly_spiteful|I have heard that you pinched some food from my tenants at {s51}. Well, I'll not begrudge you a scrap or two, but keep in mind that I'm the one who must listen to their whining afterward.
str_comment_you_robbed_my_village_friendly|I have heard that you requisitioned supplies from my tenants at {s51}. I am sure that you would not have done so were you not desperately in need.
str_comment_you_robbed_my_village_default|You have robbed my tenants in the village of {s51}. If you continue to behave this way, we may soon come to blows.
str_comment_you_accosted_my_caravan_enemy|You have been accosting caravans under my protection. Your trail of brigandage will soon come to an end.
str_comment_you_accosted_my_caravan_default|You have been accosting caravans under my protection. This sort of behavior must stop.
str_comment_you_helped_villagers_benevolent|I heard that you gave charity to my tenants in the village of {s51}. I had been neglectful in my duties as lord and protector, and I appreciate what you have done.
str_comment_you_helped_villagers_friendly_cruel|I heard that you gave charity to my tenants in the village of {s51}. I appreciate that you meant well, but I'd rather you not undercut my authority like that.
str_comment_you_helped_villagers_friendly|I heard that you gave charity to my tenants in the village of {s51}. Times are hard, and I know that you mean well, so I will not object to you providing them with assistance.
str_comment_you_helped_villagers_unfriendly_spiteful|I heard that you gave charity to my tenants in the village of {s51}. As amusing as it is to see you grubbing for favor among my vassals, I would ask you to mind your own business.
str_comment_you_helped_villagers_cruel|I heard that you gave charity to my tenants in the village of {s51}. As the peasants' lord and protector, it is most properly my duty to assist them in times of hardship. You may mean well, but your actions still undercut my authority. I would thank you to leave them alone.
str_comment_you_helped_villagers_default|I heard that you gave charity to my tenants in the village of {s51}. Times are hard, and I know that you mean well, but try not to make a habit of it. I am their lord and protector, and I would rather not have them go looking to strangers for assistance.
str_comment_you_give_castle_in_my_control|You won't regret your decision to give {s51} to me. You can count on me to protect it.
str_comment_you_captured_a_castle_allied_friendly|I heard that you have besieged and taken {s51}. That was a great dead, and I am proud to call you my friend!
str_comment_you_captured_a_castle_allied_spiteful|I heard that you have besieged and taken {s51}. Good work! Soon, we will have all their fortresses to despoil, their treasuries to ransack, their grieving widows to serve us our wine.
str_comment_you_captured_a_castle_allied_unfriendly_spiteful|I heard that you have besieged and taken {s51}. Well, every dog has his day, or so they say. Enjoy it while you can, until your betters kick you back out in the cold where you belong.
str_comment_you_captured_a_castle_allied_unfriendly|I heard that you have besieged and taken {s51}. Whatever our differences in the past, I must offer you my congratulations.
str_comment_you_captured_a_castle_allied|I heard that you have besieged and taken {s51}. We have them on the run!
str_comment_you_captured_my_castle_enemy_spiteful|I hear that you have broken into my home at {s51}. I hope the dungeon is to your liking, as you will be spending much time there in the years to come.
str_comment_you_captured_my_castle_enemy_chivalrous|You hold {s51}, my rightful fief. I hope you will give me the chance to win it back!
str_comment_you_captured_my_castle_enemy|You have something that belongs to me -- {s51}. I will make you relinquish it.
str_comment_we_defeated_a_lord_unfriendly_spiteful|I suppose you will want to drink to the memory of our victory over {s54}. Well, save your mead -- it will take more than that to wipe out the stain of your earlier disgraces.
str_comment_we_defeated_a_lord_unfriendly|I will not forget how we fought together against {s54}, but also I can not forget the other matters that lie between us.
str_comment_we_defeated_a_lord_cruel|That was a great victory over {s54}, wasn't it? We made of his army a feast for the crows!
str_comment_we_defeated_a_lord_quarrelsome|I won't forget how we whipped {s54}. I enjoyed that.
str_comment_we_defeated_a_lord_upstanding|I will not forget our victory over {s54}. Let us once again give thanks to heaven, and pray that we not grow too proud.
str_comment_we_defeated_a_lord_default|That was a great victory over {s54}, wasn't it? I am honoured to have fought by your side.
str_comment_we_fought_in_siege_unfriendly_spiteful|I suppose you will want to drink to the memory of our capture of {s51}. Well, save your wine -- it will take more than that to wipe out the stain of your earlier disgraces.
str_comment_we_fought_in_siege_unfriendly|I will not forget how together we stormed {s51}, but also I can not forget the other matters that lie between us.
str_comment_we_fought_in_siege_cruel|I won't forget how we broke through the walls of {s51} and put its defenders to the sword. It is a sweet memory.
str_comment_we_fought_in_siege_quarrelsome|Remember how the enemy squealed when we came over the walls of {s51}? They had thought they were safe! We wiped the smug smiles off their faces!
str_comment_we_fought_in_siege_upstanding|I will not forget our capture of {s51}. Let us once again give thanks to heaven, and pray that we not grow too proud.
str_comment_we_fought_in_siege_default|I will not forget how together we captured {s51}. I am honoured to have fought by your side.
str_comment_we_fought_in_major_battle_unfriendly_spiteful|I suppose you will want to drink to the memory of our great victory near {s51}. Well, save your mead -- it will take more than that to wipe out the stain of your earlier disgraces.
str_comment_we_fought_in_major_battle_unfriendly|I will not forget how we fought together in the great battle near {s51}, but I can also not forget the other matters that lie between us.
str_comment_we_fought_in_major_battle_cruel|I won't forget the great battle near {s51}, when we broke through the enemy lines and they ran screaming before us. It is a sweet memory.
str_comment_we_fought_in_major_battle_quarrelsome|That was a fine fight near {s51}, when we made those bastards run!
str_comment_we_fought_in_major_battle_upstanding|I will not forget how we fought side by side at the great battle near {s51}. Let us once again give thanks to heaven, and pray that we not grow too proud.
str_comment_we_fought_in_major_battle_default|I will not forget how we fought side by side at the great battle near {s51}. I am honoured to have fought by your side.
str_comment_you_defeated_a_lord_allied_liege|So, you crossed swords with that rascal they call {s54}, and emerged victorious. I am very happy to hear that.
str_comment_you_defeated_a_lord_allied_unfriendly_spiteful|I heard that you fought and defeated {s54}. Every dog has its day, I suppose.
str_comment_you_defeated_a_lord_allied_spiteful|I heard that you fought and defeated that dog {s54}. Ah, if only I could have heard him whimpering for mercy.
str_comment_you_defeated_a_lord_allied_unfriendly_chivalrous|I heard that you fought and defeated {s54}. I hope that you did not use dishonourable means to do so.
str_comment_you_defeated_a_lord_allied|I heard that you fought and defeated {s54}. I wish you joy of your victory.
str_comment_you_defeated_me_enemy_chivalrous|I will not begrudge you your victory the last time that we met, but I am anxious for another round!
str_comment_you_defeated_me_enemy_spiteful|I have been looking forward to meeting you again. Your tricks will not deceive me a second time, and I will relish hearing your cries for mercy!
str_comment_you_defeated_me_enemy|When last we met, {playername}, you had the better of me. But I assure you that it will not happen again!
str_comment_i_defeated_you_enemy_spiteful|Back for more? Make me fight you again, and I'll feed your bowels to my hounds.
str_comment_i_defeated_you_enemy_chivalrous|Come to test your valor against me again, {playername}?
str_comment_i_defeated_you_enemy_benevolent|So once again you come at me? Will you ever learn?
str_comment_i_defeated_you_enemy_coldblooded|You are persistent, but a nuisance.
str_comment_i_defeated_you_enemy|How many times must I chastise you before you learn to keep your distance?
str_comment_we_were_defeated_unfriendly_spiteful|Last I saw you, you had been struck down by the men of {s54}. I blame you for that disaster. What a pity to see that you survived.
str_comment_we_were_defeated_unfriendly|Last I saw you, you had been struck down by the men of {s54}. Well, I see that you survived.
str_comment_we_were_defeated_cruel|Last I saw you, you had been struck down by the men of {s54}. Don't worry -- we'll find him, and make him choke on his victory.
str_comment_we_were_defeated_default|Last I saw you, you had been struck down by the men of {s54}. It is good to see you alive and well.
str_comment_you_were_defeated_allied_friendly_spiteful|I heard that {s54} gave you a hard time. Don't worry, friend -- I'll find him for you, and make you a gift of his head.
str_comment_you_were_defeated_allied_unfriendly_cruel|I had heard that {s54} slaughtered your men like sheep. But here you are, alive. Such a disappointment!
str_comment_you_were_defeated_allied_spiteful|I heard that {s54} crushed you underfoot like an ant. Hah! Children should not play games made for grown-ups, little {boy/girl}!
str_comment_you_were_defeated_allied_pitiless|I heard that {s54} defeated you, and scattered your forces. That is most disappointing...
str_comment_you_were_defeated_allied_unfriendly_upstanding|I heard that {s54} defeated you. Perhaps you should repent if you have commited any misdeeds, that might cause The Lord to rebuke you in this way.
str_comment_you_were_defeated_allied_unfriendly|I heard that {s54} defeated you. Look, try not to get too many of our men killed, will you?
str_comment_you_were_defeated_allied|I heard that {s54} defeated you. But take heart -- the tables will soon be turned!
str_comment_you_helped_my_ally_unfriendly_chivalrous|I heard that you saved {s54} from likely defeat. Whatever else I may think of you, I must at least commend you for that.
str_comment_you_helped_my_ally_liege|I heard that you saved my vassal {s54} from likely defeat. 
str_comment_you_helped_my_ally_unfriendly_spiteful|I heard that you rode to the rescue of our poor {s54}. Did you think him a damsel in distress? No matter -- it's a common mistake.
str_comment_you_helped_my_ally_spiteful|I heard that you saved {s54} from a whipping. You should have let him learn his lesson, in my opinion.
str_comment_you_helped_my_ally_chivalrous|I heard that you got {s54} out of a tight spot. That was a noble dead.
str_comment_you_helped_my_ally_default|I heard that you got {s54} out of a tight spot. Good work!
str_comment_you_abandoned_us_unfriendly_spiteful|You worm! You left us alone to face {s54}, didn't you? I spit at you.
str_comment_you_abandoned_us_unfriendly_pitiless|Well... You abandoned me in the middle of a battle with {s54}, didn't you? I'll see you buried in a traitor's grave.
str_comment_you_abandoned_us_spiteful|You disappeared in the middle of that battle with {s54}... I hope you have a good explanation. Did your bowels give out? Were you shaking too hard with fear to hold your weapon?
str_comment_you_abandoned_us_chivalrous|What happened? You disappeared in the middle of that battle against {s54}. I can only hope that you were too badly wounded to stand, for I would be ashamed to have gone into battle alongside a coward.
str_comment_you_abandoned_us_benefitofdoubt|What happened? You disappeared in the middle of that battle against {s54}. I assume that you must have been wounded, but it did look suspicious.
str_comment_you_abandoned_us_default|What happened? One moment you were fighting with us against {s54}, the next moment you were nowhere to be found?
str_comment_you_ran_from_me_enemy_spiteful|Last time we met, you ran from me like a whipped dog. Have you come back to bark at me again, or to whine for mercy?
str_comment_you_ran_from_me_enemy_chivalrous|Last time we met, you fled from me. Learn to stand and fight like a gentleman!
str_comment_you_ran_from_me_enemy_benevolent|When I saw you flee the last time that we met, I had hoped that I would not have to fight you again.
str_comment_you_ran_from_me_enemy_coldblooded|Last time we met, you fled from me. That was a wise decision
str_comment_you_ran_from_me_enemy|You may have been able to escape the last time we crossed paths, but the next time I doubt that you be so lucky.
str_comment_you_ran_from_foe_allied_chivalrous|They say that you fled from {s54}, leaving your men behind. I pray that this is not true, for such conduct does dishonour to us all.
str_comment_you_ran_from_foe_allied_upstanding|They say that you fled from {s54}, leaving your men behind. I do not always believe such rumors, and I also know that desperate straits call for desperate measures. But I beg you to take more care of your good name, for men will not fight in our armies if they hear that we abandon them on the field of battle.
str_comment_you_ran_from_foe_allied_spiteful|By the way, they said that you ran away from {s54} like a quaking little rabbit, leaving your men behind to be butchered. Ha! What a sight that would have been to see!
str_comment_you_defeated_my_friend_enemy_pragmatic|You may have bested {s54}, but you cannot defeat us all.
str_comment_you_defeated_my_friend_enemy_chivalrous|I have heard that you defeated {s54}, and ever since have been anxious to cross swords with you.
str_comment_you_defeated_my_friend_enemy_spiteful|Your fame runs before you, {playername}. {s54} may have fallen for your tricks, but if you fight me, you'll find a me a much more slippery foe.
str_comment_you_defeated_my_friend_enemy|They say that you have defeated {s54}. But I will be a truer test of your skill at arms.
str_comment_you_captured_a_lord_allied_friendly_spiteful|I heard that you captured {s54}. I hope that you squeezed him for every scillinga.
str_comment_you_captured_a_lord_allied_unfriendly_spiteful|Я слышал вы захватили {s54}. Ваша казна должна быть полна с выкупом в сейчас. Такая жалость, что деньги не могут превратить низкого происхождения бастарда в джентльмена!
str_comment_you_captured_a_lord_allied_chivalrous|Я слышал, что вы захватили {s54}. Хорошо. Предлагаю чтобы он был награжден соответствующе соему рангу.
str_comment_you_captured_a_lord_allied|Я слышал, что вы захватили {s54}. Хорошо. Его выкуп должен стоить чего то.
str_comment_you_let_go_a_lord_allied_chivalrous|Я слышал, что вы захватили {s54}, но затем отпустили его. Вы настоящий рыцарь.
str_comment_you_let_go_a_lord_allied_upstanding|Я слышал, что вы захватили {s54}, но затем отпустили его. Это было правильным решением, но и так же опасным.
str_comment_you_let_go_a_lord_allied_coldblooded|Я слышал, что вы захватили {s54}, но затем отпустили его. Вы поступили как настоящий рыцарь, но одним лишь рыцарством не выиграть войну.
str_comment_you_let_go_a_lord_allied_unfriendly_spiteful|Я слышал, что вы захватили {s54}, но затем отпустили его. Очень галантно с вашей стороны! Нет сомнений в том, что его жена и дети захотят вас отблагодарить лично.
str_comment_you_let_go_a_lord_allied|Я слышал, что вы захватили {s54}, но затем отпустили его. Я не скажу вам что делать с вашими собственными заключенными.
str_comment_you_let_me_go_spiteful|Если бы в прошлом мы встретились и вы были бы у меня в плену, я бы позволил вам выйти на свободу. Надеюсь вам понравилось играть со мной как кошка с мышкой.
str_comment_you_let_me_go_enemy_chivalrous|Когда в прошлом мы встретились, вы были добры в вашей власти и позволили мне выйти на свободу. Это был рыцарский поступок, я не забуду. Но я также должны помнить, что я дал свою клятву моему вассалу, и наши царства еще на воюют.
str_comment_you_let_me_go_enemy_coldblooded|Когда в прошлом мы встретились, вы были добры в вашей власти и позволили мне выйти на свободу. Но мы все еще враги, и я не могу обещать, что буду милостив.
str_comment_you_let_me_go_enemy|Когда в прошлом мы встретились, вы были добры в вашей власти и позволили мне выйти на свободу. Это было мило с вашей стороны. Но мы все еще в состоянии войны.
str_comment_you_let_me_go_default|Когда в прошлом мы встретились, вы были добры в вашей власти и позволили мне выйти на свободу. Это было очень мило с твоей стороны, и я рад, что наши царства уже не находятся в состоянии войны.
str_comment_pledged_allegiance_allied_martial_unfriendly|Я слышал, что вы поклялись в верности нашему лорду {s54}. Пожалуйста, не позорьте нас ведя себя как трус.
str_comment_pledged_allegiance_allied_martial|ЯЯ слышал, что вы поклялись в верности нашему лорду {s54}. Я с нетерпением жду боя вместе с вами против наших врагов.
str_comment_pledged_allegiance_allied_quarrelsome_unfriendly|Я слышал, что вы поклялись в верности нашему лорду {s54}. Бах. Сделайте себе одолжение, держитесь подальше от меня.
str_comment_pledged_allegiance_allied_quarrelsome|Я слышал, что вы поклялись в верности нашему лорду {s54}. Война трудна против наших врагов, уважайте и не мешайте мне, и мы поладим.
str_comment_pledged_allegiance_allied_selfrighteous_unfriendly|Я слышал, что вы поклялись в верности нашему лорду {s54}. Если бы я был на его месте, я бы не стал доверять вам.
str_comment_pledged_allegiance_allied_selfrighteous|Я слышал, что вы поклялись в верности нашему лорду {s54}. Будете смелым в битве, и будете за это хорошо вознаграждены. Предадите нас, и мы сделаем из вас плохой пример, что не скоро будет забыто.
str_comment_pledged_allegiance_allied_cunning_unfriendly|Я слышал, что вы поклялись в верности нашему лорду {s54}. Я не уверен в своем решении, поэтому, лучше, чтобы вы были в нашей команде чем наоборот.
str_comment_pledged_allegiance_allied_cunning|Я слышал, что вы поклялись в верности нашему лорду {s54}. Это хорошо. Более опытные бойцы вместе с нами в эти смутные времена, тем лучше. Я буду наблюдать за вашими успехами.
str_comment_pledged_allegiance_allied_debauched_unfriendly|Я слышал, что вы поклялись в верности нашему лорду {s54}. Без сомнения, вы скоро предадите его, и я буду иметь удовольствие наблюдать как ты умрешь смертью предателя.
str_comment_pledged_allegiance_allied_debauched|Я слышал, что вы поклялись в верности нашему лорду {s54}. Отлично ... Я уверен, что вы и я стали очень хорошими друзьями. Но помните - если вы предадите нас, то это будет самая большая ошибка, которую вы когда-нибудь совершали.
str_comment_pledged_allegiance_allied_goodnatured_unfriendly|Я слышал, что вы поклялись в верности нашему лорду {s54}. Ну, я не могу сказать, что я бы доверял тебе, но, возможно, вы заслуживаете на презумпцию невиновности.
str_comment_pledged_allegiance_allied_goodnatured|Я слышал, что вы поклялись в верности нашему лорду {s54}. Хорошо {man/woman}! Наш лорд благородная душа, и вознаграждает лояльность и доблесть с добротой и великодушием.
str_comment_pledged_allegiance_allied_upstanding_unfriendly|Я слышал, что вы поклялись в верности нашему лорду {s54}. Увы, от того, что я знаю о вас, я боюсь, что вы будете позорить нас, но я буду рад, если вы докажете, что я неправ.
str_comment_pledged_allegiance_allied_upstanding|Я слышал, что вы поклялись в верности нашему лорду {s54}. Борьба против наших врагов доблесть, а также честь и сострадание.Доброе имя же ценность, как острый меч или быстрая лошадь в умелых руках.
str_comment_our_king_granted_you_a_fief_allied_friendly_cruel|Я слышал, что {s54} который предоставляет вам {s51} как лён. Не забывайте - запасное кнут и испортить крестьянина!
str_comment_our_king_granted_you_a_fief_allied_friendly_cynical|Я слышал, что {s54} которые предоставляет вам {s51} как лён. Я рад видеть вас процветать - но будьте осторожны. Мужчины гадюки, завистливые и алчные богатства своих соседей. Будьте рядом со мной, и я буду смотреть назад.
str_comment_our_king_granted_you_a_fief_allied_friendly|Я слышал, что {s54} которые предоставляет вам {s51} как лён. Пусть ваши новые земли процветают.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_upstanding|Я слышал, что {s54} которые предоставляет вам {s51} как лён. Но имейте в виду, что гордость предшествует падению.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_spiteful|Я слышал, что {s54} которые предоставляет вам {s51} как лён. Полагаю, что фортуна твозвысит тебя только для того, чтобы смирить тебя еще больше, когда он бросит вас обратно в навоз, откуда вы пришли.
str_comment_our_king_granted_you_a_fief_allied_spiteful|Я слышал, что {s54} которые предоставляет вам {s51} как лён. Будем надеяться, что вы действительно заслужили доверие нашего лорда.
str_comment_our_king_granted_you_a_fief_allied|Я слышал, что {s54} которые предоставляет вам {s51} как лён. Вы, кажется, делаете очень хорошо для себя
str_comment_you_renounced_your_alliegance_enemy_friendly|Я слышал что вы отказались от верности нашему лорду, {s54}. Меня огорчает то, что сейчас мы должны разговаривать на поле боя.
str_comment_you_renounced_your_alliegance_friendly|Я слышал, что вы отказались от преданности нашему лорду, {s54}. Будем надеяться что мы не подеремся.
str_comment_you_renounced_your_alliegance_unfriendly_spiteful|Я всегда подозревал что вы изменник {s54}, и сейчас кажется что я был прав. Я надеюсь что вы готовы умереть,смерть предателю!
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|Я слышал что вы отказались от преданности нашему лорду, {s54}.Я сделал так,что бы вас рассматривали как изменника.
str_comment_you_renounced_your_alliegance_enemy|Я слышал что вы отказались от преданности нашему лорду, {s54}. Хорошо, это путь, в котором старые таварищи станут врагами.
str_comment_you_renounced_your_alliegance_default|Я слышал что вы отказались от преданности нашему лорду, {s54}. Хорошо,это ваше решение,но не думайте что я не стану нападать на вас, когда мы встретимся на поле боя.
str_comment_you_claimed_the_throne_1_player_liege|Мои осведомители говорят мне,что некоторые люди в этом царстве называют вас следующим королем. Я надеюсь что вы прекратите претендовать на трон, говорят что это очень опасно.
str_comment_you_claimed_the_throne_2_player_liege|Мои осведомители говорят мне,что некоторые из ваших компаньонов хотят рассказать крестьянам, о том что вы претендуете на трон. Я искренне надеюсь что вы этого им не приказывали.
str_comment_lord_intervened_against_me|Хорошо известно что я посорился с {s54}, и {s50} управлется моим конкурентом.
str_comment_i_protested_marshall_appointment|Хорошо известно что я был против {s54} рассказать о своем решении {s51} как маршал.
str_comment_i_blamed_defeat|Хорошо известно что я разочарован {s54} что покровитель {s51}, привел нас к поражение {s56}.
str_comment_i_was_entitled_to_fief|Хорошо известно что я разочарован {s54} потому что  не получил поместье {s51}, которое должно было достаться мне.
str_comment_i_quarreled_with_troop_over_woman|Хорошо известно что {s51} заплатил {s54}, пока я ухаживал.Он не достоин ее внимания, и я намереваюсь преподать ему урок.
str_comment_i_quarreled_with_you_over_woman_default|Я слышал что вы заплатили {s54}. Я считаю что вы не достойны такой дамы, как она, и настоятельно прошу,что бы вы прекратили преследовать ее.
str_comment_i_quarreled_with_you_over_woman_derisive|Я слышал что вы заплатили {s54}. Позвольте мне сказать. Она мне нравиться еще когда я был юношей, а она была девушкой. Она дама знатного происхождения, и не должна быть унижена вниманием незрелого иностранца. Не подходи к ней, или ты заплатишь своей жизнью!
str_comment_player_suggestion_succeeded|Я думал над вашим предложением, и решил воспользовался вашим советом.
str_comment_player_suggestion_failed|Я сделал как вы сказали и у меня теперь несчастье, вы виновны в этом.
str_comment_you_enfiefed_a_commoner_hesitant|Я понимаю что вы дали {s51} крестьянину {s54}. Будьте осторожны. Искусство управления это нелегкая задача, отцы обучают этому своих сыновей. Я предупреждаю вас о вмешательстве, если почувствую угрозу поместью лорда.
str_comment_you_enfiefed_a_commoner_derisive|Я понимаю что вы дали {s51} крестьянину {s54}. Древние породы не остерегают нас от изготовления королевских платьев из шкур свиней?
str_comment_you_enfiefed_a_commoner_nasty|Я понимаю что вы дали {s51} крестьянину {s54}. Позаботьтесь! Возможно собака разбудит мастера.
str_comment_marriage_normal_family|Я поздравляю вас с браком {s11} {s50}. Вы наверное рассматриваете себя частью семьи?
str_comment_marriage_normal|Поздравляю с браком {s50}. Новости о вас обоих.
str_comment_marriage_normal_nasty|Хорошо -- я вижу, что вы женились {s50}. Она была всегда глупой девочкой.
str_comment_marriage_elopement_family|Хорошо... Вы так или иначе уговорили меня {s11} {s50} взять вас в жены. Я не знаю, что вы сделали, чтобы вынудить ее принять вас, но наша семья не забудет это унижение.
str_comment_marriage_elopement_liege|Я слышал вы тайно сбежали{s50}, от пожелания семьи. Я не доволен. Ее семья среди больших лордов моего царства, и мне не нравится видеть их.
str_comment_you_broke_truce_as_my_vassal|Я слышал что вы что вы нарушаете перемирие нападая на {s55}. Вы знаете как это вынуждает меня смотреть на вас? Если вы действительно подчиняетесь мне, то я выгляжу сейчас очень глупо перед ними. Если вас не будет, я буду выглядить слабым. У меня есть причина чтобы объявить вас предателем здесь и сейчас.
str_comment_you_attacked_neutral_as_my_vassal|Я слышал что вы нападаете на {s55}. Вы дали им возможность напасть на меня... Мы увидим что из этого получится. Прекрасный день, вы мне прибавили хлопот!
str_personality_archetypes|Льеж
str_comment_i_protested_marshal_appointment|Я протестовал против {s54} решения о назначении {s51} маршалом.
str_martial|воинственный
str_quarrelsome|злой
str_selfrighteous|безжалостный
str_cunning|хитрый
str_debauched|садист
str_goodnatured|добродушный
str_upstanding|порядочный
str_roguish|мошенник
str_benevolent|доброжелательный
str_mercantile|меркантильный
str_surrender_demand_default|Уйти или остаться и умереть!
str_surrender_demand_martial|Шансы не в вашу пользу сегодня. Вы можете бороться с нами, но будет не так обидно если вы уйдете сейчас.
str_surrender_demand_quarrelsome|Вы загнали меня в угол. Оставьте меня, или я буду кусаться как собака.
str_surrender_demand_pitiless|Вы не можете победить меня, а если попытаетесь получите плохой урок. Уходи!
str_surrender_demand_cunning|Вы превосходны сегодня. Откажитесь - если не ради себя, тогда ради своих людей!
str_surrender_demand_sadistic|Сдачу, или я распотрошу тебя как рыбу!
str_surrender_demand_goodnatured|У нас преимущество. Уступите нам дорогу, и мы вас не тронем.
str_surrender_demand_upstanding|Вы можете бороться с нами, но многие из ваших людей будут убиты, и вы. Выход один, пощади нас, чтобы избежать ненужного кровопролития.
str_surrender_offer_default|Стоп! Я уступаю!
str_surrender_offer_martial|Стоп! Я уступаю!
str_surrender_offer_quarrelsome|Хватит! Вы выиграли сегодня, падлюка! Ах, позор мне!
str_surrender_offer_pitiless|Я сдаюсь! Вы выиграли. Будь проклят этот день, когда я купил этого дохлого коня!
str_surrender_offer_cunning|Стоп! Я уступаю вам!
